telemetry_id,satellite_id,timestamp,temperature_c,power_usage_w,signal_strength_dbm,data_rate_mbps,storage_utilization_pct,voltage_v,solar_flux_w_m2,operational_status,is_anomaly,year
TLM-0000018,SAT-0031777,2014-12-09,33.0,661.6,-72.5,1127.2,47.2,28.49,1306.3,Nominal,False,2014
TLM-0000019,SAT-0091677,2015-07-26,26.6,1886.1,-73.3,116.2,47.5,28.5,1288.1,Nominal,False,2015
TLM-0000020,SAT-0055998,1975-02-15,38.0,784.4,-75.3,1185.4,59.7,28.02,1321.1,Failed,False,1975
TLM-0000021,SAT-0001688,2021-08-09,34.1,847.1,-79.3,316.5,80.7,28.15,1383.1,Failed,False,2021
TLM-0000022,SAT-0002418,2010-10-09,27.6,1640.0,-67.6,759.2,54.9,28.28,1392.1,In Testing,False,2010
TLM-0000023,SAT-0006595,2022-11-28,38.1,1460.1,-107.5,329.9,61.0,28.35,1358.8,Retired,False,2022
TLM-0000024,SAT-0055820,1997-05-19,78.0,2609.0,-123.5,263.8,82.2,27.77,1391.5,Anomaly,True,1997
TLM-0000025,SAT-0087019,2017-12-07,31.1,659.7,-90.8,993.7,32.3,28.14,1302.0,Retired,False,2017
TLM-0000026,SAT-0054856,2024-10-10,25.2,1391.8,-75.7,1006.4,76.8,28.29,1302.3,Retired,False,2024
TLM-0000027,SAT-0085724,1995-07-08,15.3,376.5,-105.1,575.9,38.9,27.89,1319.6,Nominal,False,1995
TLM-0000028,SAT-0084377,2021-02-13,43.5,999.1,-98.1,954.9,71.4,28.28,1301.3,Nominal,False,2021
TLM-0000029,SAT-0016752,1990-11-19,29.6,1858.2,-86.1,1038.1,34.0,27.84,1397.7,Nominal,False,1990
TLM-0000030,SAT-0089525,1970-07-14,20.2,1175.0,-65.8,914.8,64.2,28.23,1369.7,Nominal,False,1970
TLM-0000031,SAT-0007258,2012-02-21,23.3,1247.7,-100.8,886.7,37.0,28.34,1397.9,Partially Operational,False,2012
TLM-0000032,SAT-0055052,2014-07-18,20.2,949.7,-82.9,1011.5,69.4,28.1,1348.8,Partially Operational,False,2014
TLM-0000033,SAT-0014359,2021-12-28,22.3,1386.3,-76.1,730.6,78.1,27.81,1410.8,Partially Operational,False,2021
TLM-0000034,SAT-0012270,2001-06-11,41.1,638.6,-71.5,432.3,40.3,28.3,1350.7,Failed,False,2001
TLM-0000035,SAT-0013160,2015-03-02,17.5,714.9,-100.3,784.6,33.6,28.11,1375.4,Retired,False,2015
TLM-0000036,SAT-0027491,2011-08-13,37.5,1509.3,-75.8,434.9,81.9,28.01,1386.2,Nominal,False,2011
TLM-0000037,SAT-0020829,2015-03-11,31.4,1221.6,-97.3,465.0,42.6,28.24,1317.0,Failed,False,2015
TLM-0000038,SAT-0054172,1998-10-16,31.2,517.1,-102.9,1167.1,38.9,28.46,1303.6,In Testing,False,1998
TLM-0000039,SAT-0020311,1983-02-04,28.9,1313.2,-106.4,660.5,22.5,28.2,1373.7,Nominal,False,1983
TLM-0000040,SAT-0052512,2016-02-22,28.8,1979.4,-81.7,1141.1,51.2,27.82,1284.7,Nominal,False,2016
TLM-0000041,SAT-0064025,1973-02-21,25.9,922.6,-65.8,370.2,63.8,28.29,1404.7,Nominal,False,1973
TLM-0000042,SAT-0041099,2004-01-10,22.3,833.3,-69.3,662.8,55.4,28.24,1373.9,Retired,False,2004
TLM-0000043,SAT-0077125,2020-11-24,22.9,1505.9,-95.3,273.1,80.3,27.84,1287.0,Retired,False,2020
TLM-0000044,SAT-0084500,2022-10-05,18.7,580.9,-70.6,1207.1,84.0,27.93,1411.8,Nominal,False,2022
TLM-0000045,SAT-0093777,1982-09-09,36.8,2128.4,-67.0,1055.5,64.0,28.38,1404.5,Nominal,False,1982
TLM-0000046,SAT-0010107,1980-10-05,24.3,500.6,-79.1,512.0,22.0,28.43,1336.3,Nominal,False,1980
TLM-0000047,SAT-0002921,2018-04-26,68.5,1299.0,-107.2,471.1,56.9,28.31,1370.0,Anomaly,True,2018
TLM-0000048,SAT-0014249,2005-08-04,40.0,505.5,-91.0,168.6,73.1,27.9,1281.7,Failed,False,2005
TLM-0000049,SAT-0070620,2018-01-04,30.4,1971.6,-74.3,1203.4,59.1,28.22,1339.5,Retired,False,2018
TLM-0000050,SAT-0015212,1994-05-19,34.8,1606.9,-87.2,1120.8,59.9,27.98,1341.2,Nominal,False,1994
TLM-0000051,SAT-0023737,2015-12-06,42.5,2346.3,-77.8,428.0,74.0,27.81,1284.2,Nominal,False,2015
TLM-0000052,SAT-0088913,1993-04-12,15.6,2274.9,-95.3,315.8,57.6,28.27,1366.7,Nominal,False,1993
TLM-0000053,SAT-0065754,2007-02-13,33.3,1828.2,-91.2,692.2,62.7,28.32,1407.9,Nominal,False,2007
TLM-0000054,SAT-0056629,1988-06-26,22.1,914.0,-75.2,418.7,41.5,28.37,1339.3,Retired,False,1988
TLM-0000055,SAT-0081946,2020-01-07,21.2,1010.9,-65.0,1078.2,58.1,28.24,1396.8,Nominal,False,2020
TLM-0000056,SAT-0043754,2001-02-17,21.2,1062.3,-82.4,479.4,38.5,28.04,1330.2,Partially Operational,False,2001
TLM-0000057,SAT-0029742,2024-09-18,21.8,514.5,-105.8,428.5,23.8,27.88,1325.8,Nominal,False,2024
TLM-0000058,SAT-0063611,2015-08-17,24.9,1602.9,-76.6,378.3,55.4,28.43,1377.4,Nominal,False,2015
TLM-0000059,SAT-0015562,2016-07-12,37.4,2320.6,-95.5,719.3,72.8,28.49,1405.7,Nominal,False,2016
TLM-0000060,SAT-0085329,2023-08-02,43.0,1607.2,-100.8,378.0,83.3,27.84,1394.8,Nominal,False,2023
TLM-0000061,SAT-0020936,1990-09-01,29.3,907.1,-77.1,617.4,65.5,27.83,1414.4,Retired,False,1990
TLM-0000062,SAT-0081230,2015-10-07,16.6,1686.7,-68.6,1104.9,23.9,28.23,1323.9,Nominal,False,2015
TLM-0000063,SAT-0059373,2019-12-07,24.0,919.7,-79.6,1108.2,65.6,28.18,1413.9,In Testing,False,2019
TLM-0000064,SAT-0021702,2019-12-12,30.3,742.1,-107.2,510.1,61.1,28.48,1302.4,Nominal,False,2019
TLM-0000065,SAT-0067187,2009-05-05,21.8,1794.4,-66.8,1187.7,77.9,28.03,1334.5,Nominal,False,2009
TLM-0000066,SAT-0066242,2003-05-23,32.9,854.2,-97.7,1168.4,70.0,28.5,1287.0,Nominal,False,2003
TLM-0000067,SAT-0013167,1981-07-25,38.5,1061.8,-100.5,498.6,34.6,27.83,1299.2,Partially Operational,False,1981
TLM-0000068,SAT-0045992,2006-03-19,43.2,1675.8,-75.5,895.3,39.6,28.11,1411.5,Failed,False,2006
TLM-0000069,SAT-0061326,2017-04-26,18.5,805.2,-101.5,240.1,73.2,28.59,1407.2,Retired,False,2017
TLM-0000070,SAT-0069908,2016-10-18,34.7,1093.5,-95.3,714.5,72.2,28.56,1330.7,Nominal,False,2016
TLM-0000071,SAT-0050271,2014-07-27,20.5,1872.2,-66.8,940.4,51.8,28.43,1401.2,Failed,False,2014
TLM-0000072,SAT-0089003,2001-06-16,43.5,747.2,-81.6,928.6,20.6,28.46,1338.1,Retired,False,2001
TLM-0000073,SAT-0032770,2024-01-14,24.6,2346.5,-109.9,589.0,30.0,28.09,1384.8,Nominal,False,2024
TLM-0000074,SAT-0013923,1999-06-01,30.9,801.8,-104.5,380.6,73.9,27.88,1308.1,Failed,False,1999
TLM-0000075,SAT-0081704,1983-12-23,27.3,2236.5,-66.9,932.1,52.2,28.35,1378.8,Retired,False,1983
TLM-0000076,SAT-0091848,2003-08-23,44.6,970.2,-82.0,377.5,21.7,28.22,1415.5,Nominal,False,2003
TLM-0000077,SAT-0048557,2024-04-20,34.4,563.7,-81.7,580.6,82.4,28.1,1375.5,Nominal,False,2024
TLM-0000078,SAT-0085058,1965-05-10,66.8,3303.1,-117.9,1005.0,64.0,30.72,1368.9,Anomaly,True,1965
TLM-0000079,SAT-0030878,2023-02-13,32.1,1455.8,-70.2,476.5,47.6,27.95,1298.0,Failed,False,2023
TLM-0000080,SAT-0016121,2010-08-18,16.6,2390.8,-90.6,511.6,67.5,27.96,1346.5,Nominal,False,2010
TLM-0000081,SAT-0033469,2023-05-20,17.1,1423.9,-102.6,1022.1,35.2,28.17,1327.1,Partially Operational,False,2023
TLM-0000082,SAT-0025471,1993-07-21,28.6,586.7,-97.9,791.7,82.4,27.83,1409.3,Nominal,False,1993
TLM-0000083,SAT-0025763,1994-09-22,36.0,1817.3,-74.9,254.1,41.6,28.47,1370.7,Nominal,False,1994
TLM-0000084,SAT-0013263,2018-09-02,16.1,2327.5,-101.5,791.9,26.9,28.15,1283.8,Retired,False,2018
TLM-0000085,SAT-0056445,2021-03-02,42.1,919.6,-76.9,1010.5,23.6,28.24,1295.7,Failed,False,2021
TLM-0000086,SAT-0025027,1981-08-10,20.1,853.6,-85.1,619.5,66.5,28.57,1313.2,Nominal,False,1981
TLM-0000087,SAT-0018885,2022-10-07,25.7,1332.5,-101.8,725.0,76.9,27.91,1284.4,Nominal,False,2022
TLM-0000088,SAT-0069925,1984-07-19,36.9,1514.2,-96.5,184.2,65.4,28.34,1287.2,Nominal,False,1984
TLM-0000089,SAT-0034342,2014-10-08,28.0,477.8,-76.3,196.8,53.6,28.57,1418.5,Nominal,False,2014
TLM-0000090,SAT-0014447,2022-02-11,36.8,2119.2,-91.4,101.0,32.2,27.99,1284.2,Nominal,False,2022
TLM-0000091,SAT-0024579,2003-09-11,41.5,1000.9,-96.9,684.9,73.0,28.37,1410.1,Nominal,False,2003
TLM-0000092,SAT-0006113,1980-06-25,31.9,2387.9,-86.3,224.0,66.9,28.33,1374.9,Retired,False,1980
TLM-0000093,SAT-0089765,2002-10-07,33.4,459.2,-95.5,1144.6,33.9,27.82,1287.6,Nominal,False,2002
TLM-0000094,SAT-0043542,2008-04-28,26.1,1136.6,-71.5,814.6,80.0,27.84,1354.9,Nominal,False,2008
TLM-0000095,SAT-0046743,2013-05-13,69.5,1929.1,-110.1,578.2,69.1,27.71,1407.4,Anomaly,True,2013
TLM-0000096,SAT-0046630,2007-08-25,32.2,1492.6,-99.1,1119.2,70.5,28.18,1318.5,Partially Operational,False,2007
TLM-0000097,SAT-0071150,2003-12-17,36.2,1030.7,-65.5,211.5,63.1,27.87,1363.1,Nominal,False,2003
TLM-0000098,SAT-0022122,1970-01-15,16.5,2031.6,-79.3,503.8,42.5,28.22,1340.3,Failed,False,1970
TLM-0000099,SAT-0056999,2013-04-25,23.1,1238.3,-78.1,1097.5,31.2,28.01,1369.6,Nominal,False,2013
TLM-0000100,SAT-0031677,2015-07-08,17.4,2290.9,-78.1,587.1,63.9,28.09,1286.3,In Testing,False,2015
TLM-0000101,SAT-0043108,1970-03-09,21.1,955.2,-106.4,420.3,57.2,28.09,1302.1,Nominal,False,1970
TLM-0000102,SAT-0001621,2007-03-13,15.1,2331.9,-89.3,220.9,68.3,28.49,1371.7,Nominal,False,2007
TLM-0000103,SAT-0023636,1975-08-02,20.9,917.7,-88.4,76.7,36.5,27.94,1354.0,Nominal,False,1975
TLM-0000104,SAT-0020160,2022-11-28,19.6,1511.5,-69.7,771.2,26.1,28.5,1383.8,Nominal,False,2022
TLM-0000105,SAT-0018861,2003-08-14,33.0,1483.3,-78.8,994.5,67.8,27.87,1413.7,Partially Operational,False,2003
TLM-0000106,SAT-0028577,1999-08-05,29.7,1490.1,-66.0,592.8,41.5,27.98,1415.6,Nominal,False,1999
TLM-0000107,SAT-0088732,1985-06-22,22.1,2253.2,-82.4,1019.8,50.0,28.28,1408.3,Nominal,False,1985
TLM-0000108,SAT-0042578,2013-02-06,42.3,1870.5,-85.6,478.3,48.6,28.24,1379.3,Nominal,False,2013
TLM-0000109,SAT-0086614,1984-11-12,41.4,501.9,-109.1,325.2,60.5,28.34,1339.4,Retired,False,1984
TLM-0000110,SAT-0026192,2002-04-08,34.6,760.6,-105.0,663.6,74.0,28.58,1390.9,Failed,False,2002
TLM-0000111,SAT-0012274,1972-02-10,39.8,2145.3,-101.3,964.3,80.4,28.44,1377.0,Nominal,False,1972
TLM-0000112,SAT-0009267,1996-01-06,25.1,650.4,-98.4,845.0,78.2,28.34,1393.3,Nominal,False,1996
TLM-0000113,SAT-0063169,2014-11-06,26.8,1789.3,-82.2,178.8,61.3,27.81,1346.2,Retired,False,2014
TLM-0000114,SAT-0026525,2009-06-01,27.0,601.6,-83.0,986.8,81.8,28.18,1398.2,Nominal,False,2009
TLM-0000115,SAT-0057417,1993-09-20,35.9,1434.0,-101.5,871.5,36.6,28.44,1376.8,Nominal,False,1993
TLM-0000116,SAT-0035421,1980-07-20,20.5,2196.4,-108.5,485.5,54.8,28.38,1403.4,Nominal,False,1980
TLM-0000117,SAT-0007566,1998-09-05,17.0,1963.0,-95.8,250.6,65.5,27.99,1418.5,Failed,False,1998
TLM-0000118,SAT-0066876,2019-07-08,20.5,488.1,-107.1,1238.7,51.3,28.59,1361.3,Retired,False,2019
TLM-0000119,SAT-0027116,2009-05-04,39.5,550.7,-89.4,461.7,42.9,28.0,1334.7,Nominal,False,2009
TLM-0000120,SAT-0040853,2023-02-04,74.9,2444.3,-130.8,268.3,82.8,24.76,1348.4,Anomaly,True,2023
TLM-0000121,SAT-0092170,2000-11-24,18.9,1628.4,-85.3,193.9,56.7,28.22,1326.4,Nominal,False,2000
TLM-0000122,SAT-0084505,2019-02-15,39.6,688.6,-107.5,957.6,36.5,28.43,1384.9,In Testing,False,2019
TLM-0000123,SAT-0013651,2020-09-13,28.1,614.0,-108.5,769.8,21.0,28.5,1366.2,Nominal,False,2020
TLM-0000124,SAT-0014213,2021-03-13,37.3,2285.8,-77.7,954.2,49.4,28.53,1389.9,Nominal,False,2021
TLM-0000125,SAT-0075222,2013-10-23,41.4,713.1,-70.1,1057.6,66.2,28.06,1342.5,Nominal,False,2013
TLM-0000126,SAT-0035622,1982-02-25,33.5,938.8,-78.7,934.4,43.3,27.92,1294.4,Nominal,False,1982
TLM-0000127,SAT-0085740,1994-10-14,40.7,1115.0,-76.7,368.5,50.0,28.08,1306.6,Retired,False,1994
TLM-0000128,SAT-0077859,2016-09-18,18.2,1158.3,-79.8,872.3,44.0,28.19,1417.6,Nominal,False,2016
TLM-0000129,SAT-0090315,1979-03-20,34.3,1541.2,-99.9,1201.3,57.7,28.05,1294.3,Retired,False,1979
TLM-0000130,SAT-0068548,2019-07-14,22.2,1159.6,-89.3,1006.1,74.3,27.93,1419.3,Nominal,False,2019
TLM-0000131,SAT-0008858,1996-07-24,19.8,735.5,-68.7,714.3,35.0,28.56,1289.4,Nominal,False,1996
TLM-0000132,SAT-0066833,2009-08-05,39.2,854.3,-74.5,1161.8,41.4,28.27,1387.7,Nominal,False,2009
TLM-0000133,SAT-0076367,2021-12-11,25.9,2334.3,-75.9,1043.4,25.3,28.52,1405.2,Retired,False,2021
TLM-0000134,SAT-0025866,1978-06-17,34.5,2243.8,-69.2,146.5,84.5,28.19,1341.2,Partially Operational,False,1978
TLM-0000135,SAT-0089481,2023-04-18,22.8,1479.6,-83.7,235.8,63.6,28.28,1308.9,Nominal,False,2023
TLM-0000136,SAT-0002199,1961-01-09,18.8,1527.3,-81.6,1065.2,70.7,28.01,1309.0,Nominal,False,1961
TLM-0000137,SAT-0049868,2022-03-23,27.3,792.7,-108.2,1112.8,50.0,28.17,1315.0,Failed,False,2022
TLM-0000138,SAT-0065591,2022-01-27,40.8,2051.1,-106.1,308.5,52.7,28.23,1371.9,Nominal,False,2022
TLM-0000139,SAT-0072086,1993-10-04,20.2,2264.0,-73.4,921.4,79.9,28.39,1337.6,In Testing,False,1993
TLM-0000140,SAT-0039590,2008-11-03,40.3,1462.8,-89.6,533.0,57.3,28.01,1302.9,Retired,False,2008
TLM-0000141,SAT-0031851,2008-10-16,26.6,1907.5,-76.1,384.6,22.3,27.94,1404.9,Failed,False,2008
TLM-0000142,SAT-0002258,2010-12-06,27.1,718.5,-70.0,693.6,41.0,28.36,1414.9,Failed,False,2010
TLM-0000143,SAT-0071205,2022-08-18,20.2,1740.3,-91.1,865.0,56.0,28.57,1333.6,Retired,False,2022
TLM-0000144,SAT-0008892,1989-01-24,15.7,2301.5,-87.2,1029.3,37.5,28.11,1363.8,Failed,False,1989
TLM-0000145,SAT-0025315,2020-12-14,18.7,914.8,-92.9,634.8,73.1,27.91,1304.3,Retired,False,2020
TLM-0000146,SAT-0084002,2017-10-22,44.0,2074.0,-97.7,587.1,65.3,27.85,1314.6,Nominal,False,2017
TLM-0000147,SAT-0084426,2010-12-26,40.9,857.7,-96.1,583.1,49.8,28.1,1383.9,Nominal,False,2010
TLM-0000148,SAT-0076757,2015-10-19,18.8,1494.2,-79.9,991.3,47.3,28.16,1393.6,Nominal,False,2015
TLM-0000149,SAT-0070788,2000-08-06,58.7,2342.3,-146.1,331.9,70.4,28.35,1399.3,Anomaly,True,2000
TLM-0000150,SAT-0055233,2010-01-24,38.7,2248.0,-93.2,153.2,80.6,28.53,1402.8,Partially Operational,False,2010
TLM-0000151,SAT-0060997,2013-05-18,41.2,1542.1,-98.2,103.1,66.4,28.43,1392.7,Nominal,False,2013
TLM-0000152,SAT-0011826,2020-09-12,28.8,1181.9,-76.7,337.7,79.8,28.29,1360.7,Nominal,False,2020
TLM-0000153,SAT-0013182,2018-07-03,21.7,1437.8,-73.9,999.3,72.2,28.03,1354.5,Failed,False,2018
TLM-0000154,SAT-0007288,2024-05-03,92.6,2097.7,-106.5,1049.3,56.6,25.61,1362.0,Anomaly,True,2024
TLM-0000155,SAT-0053471,1992-12-06,35.4,1072.3,-73.8,414.6,60.6,27.95,1281.4,Nominal,False,1992
TLM-0000156,SAT-0031053,2005-07-28,43.1,2069.5,-100.3,883.1,24.6,28.56,1293.3,Partially Operational,False,2005
TLM-0000157,SAT-0086351,2014-11-08,18.7,1991.8,-82.5,1119.7,67.0,27.92,1361.7,Retired,False,2014
TLM-0000158,SAT-0025689,2004-11-15,42.6,1572.5,-97.4,593.0,44.6,28.56,1325.4,Nominal,False,2004
TLM-0000159,SAT-0062896,2007-10-21,40.8,987.9,-96.8,346.6,50.0,27.96,1300.1,Nominal,False,2007
TLM-0000160,SAT-0043095,1970-07-06,25.6,754.3,-97.9,864.3,70.7,28.3,1381.0,Nominal,False,1970
TLM-0000161,SAT-0065024,2016-01-12,34.9,704.6,-76.0,977.6,35.9,28.05,1408.6,Retired,False,2016
TLM-0000162,SAT-0060942,1995-12-21,27.8,927.9,-80.6,558.6,36.9,28.17,1285.5,Nominal,False,1995
TLM-0000163,SAT-0035689,2007-07-23,20.8,760.0,-94.4,334.0,39.3,27.84,1413.7,Failed,False,2007
TLM-0000164,SAT-0093111,2004-09-25,25.5,382.0,-99.8,394.3,44.2,28.5,1300.9,Nominal,False,2004
TLM-0000165,SAT-0019232,1992-09-16,34.1,672.0,-74.5,364.0,52.4,27.98,1379.6,Nominal,False,1992
TLM-0000166,SAT-0073330,1989-07-12,34.0,658.0,-91.9,135.0,58.1,28.34,1381.3,Retired,False,1989
TLM-0000167,SAT-0008167,1995-06-01,24.8,1119.1,-92.8,1249.3,64.1,27.99,1386.6,Nominal,False,1995
TLM-0000168,SAT-0058438,2018-02-01,19.4,801.4,-72.1,468.5,63.9,28.56,1313.5,Nominal,False,2018
TLM-0000169,SAT-0012650,1987-05-16,43.3,678.4,-75.8,424.1,40.9,27.92,1347.6,Nominal,False,1987
TLM-0000170,SAT-0060695,1992-01-16,30.9,1104.8,-108.6,1123.5,62.0,27.85,1326.1,Retired,False,1992
TLM-0000171,SAT-0065705,2005-11-24,44.1,1566.9,-89.2,901.7,70.1,28.58,1400.9,Nominal,False,2005
TLM-0000172,SAT-0076217,1993-01-18,16.6,872.4,-98.5,1212.1,24.1,28.58,1332.6,Nominal,False,1993
TLM-0000173,SAT-0004693,1998-05-24,33.4,1494.2,-93.2,727.2,49.5,28.33,1338.1,Partially Operational,False,1998
TLM-0000174,SAT-0025654,2015-08-26,20.3,810.0,-79.8,1197.1,66.1,28.19,1329.8,Nominal,False,2015
TLM-0000175,SAT-0068358,2013-11-02,40.9,2360.7,-69.5,53.7,61.7,28.55,1345.2,Nominal,False,2013
TLM-0000176,SAT-0047416,1977-06-25,43.6,1300.4,-68.2,693.9,61.2,27.94,1383.4,Nominal,False,1977
TLM-0000177,SAT-0024049,2024-08-05,31.4,855.7,-102.3,235.7,54.6,28.13,1281.0,Retired,False,2024
TLM-0000178,SAT-0023314,2010-09-23,19.7,1388.9,-92.7,1152.1,48.7,28.44,1395.4,Retired,False,2010
TLM-0000179,SAT-0012712,1981-07-10,42.1,686.9,-98.2,623.1,65.5,27.87,1402.9,Nominal,False,1981
TLM-0000180,SAT-0025057,2011-01-10,21.8,1294.0,-77.1,95.2,41.6,28.15,1358.2,Nominal,False,2011
TLM-0000181,SAT-0056752,1992-11-28,17.9,1324.7,-108.4,775.3,35.2,28.3,1308.1,Nominal,False,1992
TLM-0000182,SAT-0002822,1976-07-26,40.7,575.0,-65.1,283.1,49.8,28.05,1351.9,Retired,False,1976
TLM-0000183,SAT-0048304,1972-06-10,37.0,2388.8,-105.2,682.6,83.5,28.01,1290.2,Partially Operational,False,1972
TLM-0000184,SAT-0031632,1985-05-24,21.8,728.2,-101.2,959.1,41.2,27.91,1397.8,Retired,False,1985
TLM-0000185,SAT-0029464,2015-06-28,25.9,742.5,-75.6,324.7,41.3,28.46,1330.4,Failed,False,2015
TLM-0000186,SAT-0001000,2000-12-09,30.3,1910.2,-75.8,646.3,52.0,28.22,1383.9,In Testing,False,2000
TLM-0000187,SAT-0035365,2017-09-14,31.3,975.4,-71.5,106.4,74.7,28.5,1315.7,Nominal,False,2017
TLM-0000188,SAT-0023450,2024-05-13,44.7,523.8,-105.9,830.9,53.9,28.03,1369.5,Nominal,False,2024
TLM-0000189,SAT-0026169,2013-10-07,43.2,573.7,-102.9,495.6,78.9,28.04,1417.1,Nominal,False,2013
TLM-0000190,SAT-0024022,2016-09-24,31.5,1841.7,-72.6,739.8,41.4,27.85,1355.1,Retired,False,2016
TLM-0000191,SAT-0017750,2010-04-17,24.8,2037.3,-95.6,513.7,74.3,27.83,1325.1,Nominal,False,2010
TLM-0000192,SAT-0009790,2008-11-11,30.9,1449.7,-96.2,966.5,34.1,28.32,1305.3,Retired,False,2008
TLM-0000193,SAT-0003865,2006-01-17,19.8,1076.5,-80.0,495.3,44.9,28.26,1347.6,Nominal,False,2006
TLM-0000194,SAT-0076124,2003-04-14,16.2,2334.9,-70.9,305.7,78.1,28.3,1342.5,Nominal,False,2003
TLM-0000195,SAT-0066460,2013-09-11,43.9,516.9,-67.7,1005.9,22.0,28.11,1399.7,Failed,False,2013
TLM-0000196,SAT-0014925,2021-07-23,29.0,2167.8,-76.2,673.7,56.4,28.18,1301.1,Failed,False,2021
TLM-0000197,SAT-0017338,2009-04-10,41.4,2388.9,-107.3,1047.2,31.0,28.08,1416.2,Nominal,False,2009
TLM-0000198,SAT-0089072,2014-08-05,25.4,1888.4,-94.8,245.4,51.7,28.59,1359.3,Nominal,False,2014
TLM-0000199,SAT-0085212,2023-12-13,44.8,2030.0,-102.1,242.1,73.9,28.02,1306.4,Nominal,False,2023
TLM-0000200,SAT-0044260,1993-01-04,18.9,570.2,-81.6,457.2,37.4,28.14,1389.9,Nominal,False,1993
TLM-0000201,SAT-0070573,2015-01-11,27.1,2236.0,-86.9,95.1,30.8,28.08,1405.9,Partially Operational,False,2015
TLM-0000202,SAT-0049869,2022-03-23,42.5,2261.8,-95.1,424.9,49.8,28.15,1307.1,Nominal,False,2022
TLM-0000203,SAT-0083595,2024-07-26,41.1,1742.4,-93.0,860.0,61.4,27.88,1396.9,Nominal,False,2024
TLM-0000204,SAT-0075243,1995-03-25,24.3,2268.1,-109.0,740.5,32.1,28.37,1302.1,Nominal,False,1995
TLM-0000205,SAT-0084320,1964-05-24,17.7,1335.5,-83.2,1127.3,26.2,28.22,1325.7,Failed,False,1964
TLM-0000206,SAT-0067816,2023-04-02,34.2,1208.8,-73.2,1237.6,73.6,27.82,1418.3,Partially Operational,False,2023
TLM-0000207,SAT-0018535,2002-05-21,20.7,411.4,-105.6,1170.6,53.5,28.5,1380.2,Retired,False,2002
TLM-0000208,SAT-0086982,1978-06-16,31.8,2187.9,-103.5,545.9,57.8,27.98,1309.3,Retired,False,1978
TLM-0000209,SAT-0030839,2010-11-04,34.1,1619.6,-82.7,901.7,41.2,28.57,1326.7,Nominal,False,2010
TLM-0000210,SAT-0030996,2006-12-27,43.6,2310.9,-109.7,290.0,30.6,28.27,1357.9,Nominal,False,2006
TLM-0000211,SAT-0054877,2022-04-23,20.9,2026.5,-72.2,1101.8,56.3,28.32,1409.2,Nominal,False,2022
TLM-0000212,SAT-0073973,2008-10-16,36.2,1361.7,-91.3,705.5,42.7,28.52,1380.7,Retired,False,2008
TLM-0000213,SAT-0057807,1995-03-25,25.1,560.8,-102.3,1227.5,34.3,28.06,1287.2,Nominal,False,1995
TLM-0000214,SAT-0009744,2022-03-05,24.0,1272.9,-69.9,310.1,75.9,28.26,1316.8,Nominal,False,2022
TLM-0000215,SAT-0037369,2014-02-14,32.8,759.7,-104.9,1127.6,62.7,28.29,1326.7,Retired,False,2014
TLM-0000216,SAT-0062106,2016-07-25,39.1,512.2,-77.9,985.2,68.9,27.92,1391.8,Nominal,False,2016
