satellite_id,mission_id,satellite_name,country,operator,purpose,launch_date,year,quarter,orbit_type,mass_kg,status
SAT-0000062,MSN-0000055,JA-SAT-000062,Japan,MHI,Technology Testing,2004-07-27,2004,3,LEO,2561.1,Operational
SAT-0000063,MSN-0000056,RU-SAT-000063,Russia,ISS-Reshetnev,Weather Monitoring,1998-01-16,1998,1,LEO,2312.1,Operational
SAT-0000064,MSN-0000057,GE-SAT-000064,Germany,DLR,Earth Observation,1992-01-17,1992,1,LEO,464.4,Operational
SAT-0000065,MSN-0000059,CH-SAT-000065,China,CASIC,Earth Observation,2015-06-12,2015,2,LEO,1893.4,Partially Operational
SAT-0000066,MSN-0000060,CH-SAT-000066,China,CASIC,Weather Monitoring,1986-04-24,1986,2,LEO,938.7,Operational
SAT-0000067,MSN-0000061,JA-SAT-000067,Japan,JAXA,Earth Observation,1997-05-01,1997,2,GEO,3592.0,Operational
SAT-0000068,MSN-0000062,IN-SAT-000068,India,ISRO,Earth Observation,1964-05-16,1964,2,LEO,396.6,Retired
SAT-0000069,MSN-0000063,FR-SAT-000069,France,Arianespace,Military,1974-08-03,1974,3,GEO,273.2,Operational
SAT-0000070,MSN-0000064,US-SAT-000070,USA,Boeing,Earth Observation,2000-10-26,2000,4,LEO,1130.5,Operational
SAT-0000071,MSN-0000065,US-SAT-000071,USA,SpaceX,Navigation,2001-10-20,2001,4,GEO,3108.6,Retired
SAT-0000072,MSN-0000066,US-SAT-000072,USA,ULA,Scientific Research,2007-03-01,2007,1,LEO,2240.2,Retired
SAT-0000073,MSN-0000066,US-SAT-000073,USA,ULA,Earth Observation,2007-03-01,2007,1,LEO,2677.4,Partially Operational
SAT-0000074,MSN-0000066,US-SAT-000074,USA,ULA,Earth Observation,2007-03-01,2007,1,LEO,1398.6,Retired
SAT-0000075,MSN-0000067,US-SAT-000075,USA,SpaceX,Communications,2020-02-22,2020,1,HEO,5627.2,Operational
SAT-0000076,MSN-0000068,CH-SAT-000076,China,CASIC,Weather Monitoring,2021-03-03,2021,1,LEO,1322.7,Operational
SAT-0000077,MSN-0000069,RU-SAT-000077,Russia,ISS-Reshetnev,Communications,2000-05-17,2000,2,GEO,1135.4,Retired
SAT-0000078,MSN-0000069,RU-SAT-000078,Russia,ISS-Reshetnev,Navigation,2000-05-17,2000,2,GEO,368.7,Operational
SAT-0000079,MSN-0000069,RU-SAT-000079,Russia,ISS-Reshetnev,Earth Observation,2000-05-17,2000,2,GEO,2637.3,Operational
SAT-0000080,MSN-0000069,RU-SAT-000080,Russia,ISS-Reshetnev,Earth Observation,2000-05-17,2000,2,GEO,1917.2,Operational
SAT-0000081,MSN-0000070,US-SAT-000081,USA,ULA,Scientific Research,2012-10-19,2012,4,Lunar,10195.1,Operational
SAT-0000082,MSN-0000072,RU-SAT-000082,Russia,ISS-Reshetnev,Communications,2019-06-14,2019,2,GEO,38.4,Retired
SAT-0000083,MSN-0000074,US-SAT-000083,USA,ULA,Weather Monitoring,2016-11-15,2016,4,LEO,4570.1,Retired
SAT-0000084,MSN-0000075,ES-SAT-000084,ESA,ESA,Scientific Research,2024-10-26,2024,4,MEO,824.0,Operational
SAT-0000085,MSN-0000076,UK-SAT-000085,UK,OneWeb,Communications,1980-03-16,1980,1,LEO,2788.4,Retired
SAT-0000086,MSN-0000077,OT-SAT-000086,Other,Unknown Agency,Technology Testing,2007-07-07,2007,3,GEO,2525.8,Operational
SAT-0000087,MSN-0000079,RU-SAT-000087,Russia,ISS-Reshetnev,Military,2016-07-15,2016,3,SSO,3099.9,Operational
SAT-0000088,MSN-0000080,IN-SAT-000088,India,ISRO,Earth Observation,2018-07-22,2018,3,Heliocentric,249.5,Operational
SAT-0000089,MSN-0000082,IN-SAT-000089,India,ISRO,Scientific Research,2010-07-21,2010,3,SSO,3493.5,Operational
SAT-0000090,MSN-0000084,US-SAT-000090,USA,ULA,Scientific Research,2020-08-06,2020,3,LEO,1248.1,Failed
SAT-0000091,MSN-0000085,US-SAT-000091,USA,Boeing,Communications,1982-09-14,1982,3,GEO,8091.9,Operational
SAT-0000092,MSN-0000086,US-SAT-000092,USA,Boeing,Earth Observation,1982-08-21,1982,3,LEO,1295.0,Operational
SAT-0000093,MSN-0000087,ES-SAT-000093,ESA,ESA,Communications,2002-06-19,2002,2,GEO,1180.4,Operational
SAT-0000094,MSN-0000087,ES-SAT-000094,ESA,ESA,Navigation,2002-06-19,2002,2,GEO,927.6,Operational
SAT-0000095,MSN-0000088,FR-SAT-000095,France,Arianespace,Navigation,1998-06-19,1998,2,Lunar,1918.7,Retired
SAT-0000096,MSN-0000089,CH-SAT-000096,China,CASIC,Communications,2015-01-20,2015,1,SSO,506.6,Partially Operational
SAT-0000097,MSN-0000090,US-SAT-000097,USA,Rocket Lab,Navigation,2016-11-22,2016,4,GEO,2478.4,Retired
SAT-0000098,MSN-0000091,IN-SAT-000098,India,ISRO,Military,1998-03-03,1998,1,LEO,1378.3,Operational
SAT-0000099,MSN-0000093,US-SAT-000099,USA,Boeing,Communications,1989-11-24,1989,4,Heliocentric,520.7,Operational
SAT-0000100,MSN-0000094,CH-SAT-000100,China,CASIC,Communications,2012-11-09,2012,4,LEO,2257.1,Retired
SAT-0000101,MSN-0000095,US-SAT-000101,USA,ULA,Earth Observation,2020-09-11,2020,3,LEO,3377.0,Failed
SAT-0000102,MSN-0000096,US-SAT-000102,USA,Boeing,Earth Observation,1970-08-04,1970,3,LEO,632.4,Retired
SAT-0000103,MSN-0000097,ES-SAT-000103,ESA,Arianespace,Military,2023-07-19,2023,3,SSO,1358.9,Failed
SAT-0000104,MSN-0000098,RU-SAT-000104,Russia,ISS-Reshetnev,Communications,2023-06-04,2023,2,LEO,1550.4,Partially Operational
SAT-0000105,MSN-0000101,IN-SAT-000105,India,ISRO,Scientific Research,1992-03-05,1992,1,LEO,1405.9,Operational
SAT-0000106,MSN-0000103,IN-SAT-000106,India,ISRO,Navigation,1979-09-08,1979,3,LEO,2179.2,Operational
SAT-0000107,MSN-0000104,US-SAT-000107,USA,NASA,Technology Testing,2019-07-22,2019,3,GEO,20643.4,Failed
SAT-0000108,MSN-0000105,RU-SAT-000108,Russia,ISS-Reshetnev,Space Exploration,1981-10-21,1981,4,GEO,1042.5,Operational
SAT-0000109,MSN-0000106,RU-SAT-000109,Russia,ISS-Reshetnev,Communications,1980-11-21,1980,4,MEO,1063.5,Operational
SAT-0000110,MSN-0000108,JA-SAT-000110,Japan,MHI,Military,1978-12-12,1978,4,GEO,2046.5,Operational
SAT-0000111,MSN-0000109,RU-SAT-000111,Russia,Roscosmos,Scientific Research,2022-07-28,2022,3,GTO,6501.5,In Testing
SAT-0000112,MSN-0000112,US-SAT-000112,USA,Rocket Lab,Communications,1962-03-19,1962,1,LEO,7306.6,Retired
SAT-0000113,MSN-0000113,US-SAT-000113,USA,NASA,Communications,1998-08-11,1998,3,LEO,1765.3,Failed
SAT-0000114,MSN-0000114,US-SAT-000114,USA,Boeing,Technology Testing,1972-02-09,1972,1,GEO,2155.7,Operational
SAT-0000115,MSN-0000115,US-SAT-000115,USA,Boeing,Communications,1996-02-10,1996,1,GEO,3142.7,Retired
SAT-0000116,MSN-0000116,US-SAT-000116,USA,Boeing,Weather Monitoring,2023-03-25,2023,1,LEO,536.9,Operational
SAT-0000117,MSN-0000117,US-SAT-000117,USA,NASA,Communications,2014-09-18,2014,3,SSO,1963.3,Operational
SAT-0000118,MSN-0000118,US-SAT-000118,USA,NASA,Scientific Research,2001-07-23,2001,3,LEO,6258.2,Retired
SAT-0000119,MSN-0000120,US-SAT-000119,USA,SpaceX,Weather Monitoring,1996-03-03,1996,1,GEO,3268.4,Retired
SAT-0000120,MSN-0000121,RU-SAT-000120,Russia,Roscosmos,Navigation,2018-03-08,2018,1,LEO,331.9,In Testing
SAT-0000121,MSN-0000122,IN-SAT-000121,India,ISRO,Technology Testing,2016-10-15,2016,4,HEO,3717.4,Operational
SAT-0000122,MSN-0000123,CH-SAT-000122,China,GALACTIC ENERGY,Communications,1974-08-21,1974,3,SSO,1362.9,Failed
SAT-0000123,MSN-0000125,ES-SAT-000123,ESA,ESA,Communications,2021-10-21,2021,4,LEO,468.2,Retired
SAT-0000124,MSN-0000126,JA-SAT-000124,Japan,MHI,Earth Observation,1976-11-06,1976,4,LEO,21290.1,Operational
SAT-0000125,MSN-0000127,CH-SAT-000125,China,CASIC,Earth Observation,2022-07-14,2022,3,GEO,4707.0,Operational
SAT-0000126,MSN-0000128,ES-SAT-000126,ESA,ESA,Scientific Research,2014-11-20,2014,4,LEO,5058.8,Operational
SAT-0000127,MSN-0000129,US-SAT-000127,USA,SpaceX,Communications,2012-03-20,2012,1,HEO,606.1,Retired
SAT-0000128,MSN-0000130,JA-SAT-000128,Japan,JAXA,Earth Observation,2013-09-03,2013,3,GEO,572.5,Operational
SAT-0000129,MSN-0000131,US-SAT-000129,USA,Northrop Grumman,Navigation,2023-08-07,2023,3,Lunar,2697.1,Operational
SAT-0000130,MSN-0000132,JA-SAT-000130,Japan,JAXA,Earth Observation,1970-06-25,1970,2,LEO,1804.6,Partially Operational
SAT-0000131,MSN-0000133,ES-SAT-000131,ESA,Arianespace,Earth Observation,2021-12-15,2021,4,LEO,1877.7,Operational
SAT-0000132,MSN-0000135,US-SAT-000132,USA,ULA,Communications,2006-03-27,2006,1,SSO,7175.9,Operational
SAT-0000133,MSN-0000138,US-SAT-000133,USA,Boeing,Military,2014-06-26,2014,2,LEO,803.7,Retired
SAT-0000134,MSN-0000139,US-SAT-000134,USA,Northrop Grumman,Communications,2002-01-03,2002,1,LEO,953.9,Retired
SAT-0000135,MSN-0000140,IN-SAT-000135,India,ISRO,Communications,1980-04-14,1980,2,SSO,4674.5,Operational
SAT-0000136,MSN-0000141,RU-SAT-000136,Russia,ISS-Reshetnev,Weather Monitoring,2011-10-08,2011,4,LEO,1658.3,Failed
SAT-0000137,MSN-0000142,ES-SAT-000137,ESA,ESA,Technology Testing,1997-09-18,1997,3,SSO,54.7,Retired
SAT-0000138,MSN-0000143,RU-SAT-000138,Russia,Roscosmos,Earth Observation,2024-05-24,2024,2,LEO,4002.9,Retired
SAT-0000139,MSN-0000146,CH-SAT-000139,China,CNSA,Communications,2007-05-02,2007,2,LEO,26430.7,Operational
SAT-0000140,MSN-0000147,RU-SAT-000140,Russia,ISS-Reshetnev,Military,1998-07-24,1998,3,SSO,811.3,Operational
SAT-0000141,MSN-0000149,US-SAT-000141,USA,ULA,Scientific Research,1994-10-23,1994,4,LEO,325.1,Operational
SAT-0000142,MSN-0000150,RU-SAT-000142,Russia,Roscosmos,Weather Monitoring,2017-01-03,2017,1,GEO,2094.6,Operational
SAT-0000143,MSN-0000151,US-SAT-000143,USA,NASA,Weather Monitoring,2017-01-05,2017,1,LEO,1816.0,Operational
SAT-0000144,MSN-0000154,OT-SAT-000144,Other,Unknown Agency,Scientific Research,1982-02-15,1982,1,SSO,1060.9,Operational
SAT-0000145,MSN-0000155,IT-SAT-000145,Italy,ASI,Weather Monitoring,2012-12-03,2012,4,GEO,15029.6,Operational
SAT-0000146,MSN-0000156,CH-SAT-000146,China,CASIC,Earth Observation,1987-03-08,1987,1,LEO,674.6,Retired
SAT-0000147,MSN-0000157,OT-SAT-000147,Other,Unknown Agency,Navigation,2020-02-10,2020,1,Lunar,1128.5,Retired
SAT-0000148,MSN-0000158,US-SAT-000148,USA,Rocket Lab,Navigation,2003-09-12,2003,3,SSO,336.8,Operational
SAT-0000149,MSN-0000158,US-SAT-000149,USA,Rocket Lab,Earth Observation,2003-09-12,2003,3,SSO,357.5,Operational
SAT-0000150,MSN-0000158,US-SAT-000150,USA,Rocket Lab,Communications,2003-09-12,2003,3,SSO,325.5,Operational
SAT-0000151,MSN-0000158,US-SAT-000151,USA,Rocket Lab,Earth Observation,2003-09-12,2003,3,SSO,301.3,Partially Operational
SAT-0000152,MSN-0000160,UA-SAT-000152,UAE,UAESA,Earth Observation,2019-05-07,2019,2,GTO,4781.5,Retired
SAT-0000153,MSN-0000161,US-SAT-000153,USA,Northrop Grumman,Communications,2009-10-05,2009,4,GEO,2113.0,Operational
SAT-0000154,MSN-0000162,FR-SAT-000154,France,CNES,Weather Monitoring,2023-10-09,2023,4,LEO,280.8,Retired
SAT-0000155,MSN-0000162,FR-SAT-000155,France,CNES,Earth Observation,2023-10-09,2023,4,LEO,1063.8,Failed
SAT-0000156,MSN-0000162,FR-SAT-000156,France,CNES,Communications,2023-10-09,2023,4,LEO,800.9,Failed
SAT-0000157,MSN-0000163,CH-SAT-000157,China,GALACTIC ENERGY,Communications,2023-08-08,2023,3,LEO,1140.6,Operational
SAT-0000158,MSN-0000163,CH-SAT-000158,China,GALACTIC ENERGY,Technology Testing,2023-08-08,2023,3,LEO,1269.3,Retired
SAT-0000159,MSN-0000163,CH-SAT-000159,China,GALACTIC ENERGY,Navigation,2023-08-08,2023,3,LEO,1008.0,Operational
SAT-0000160,MSN-0000163,CH-SAT-000160,China,GALACTIC ENERGY,Scientific Research,2023-08-08,2023,3,LEO,1482.3,Operational
SAT-0000161,MSN-0000163,CH-SAT-000161,China,GALACTIC ENERGY,Communications,2023-08-08,2023,3,LEO,609.2,Operational
SAT-0000162,MSN-0000164,US-SAT-000162,USA,ULA,Communications,1995-12-11,1995,4,Heliocentric,1348.9,Operational
SAT-0000163,MSN-0000165,US-SAT-000163,USA,SpaceX,Communications,1980-08-08,1980,3,LEO,3213.9,Operational
SAT-0000164,MSN-0000167,US-SAT-000164,USA,Rocket Lab,Weather Monitoring,2023-09-15,2023,3,LEO,563.2,Failed
SAT-0000165,MSN-0000167,US-SAT-000165,USA,Rocket Lab,Weather Monitoring,2023-09-15,2023,3,LEO,537.4,Operational
SAT-0000166,MSN-0000167,US-SAT-000166,USA,Rocket Lab,Weather Monitoring,2023-09-15,2023,3,LEO,676.6,Retired
SAT-0000167,MSN-0000168,US-SAT-000167,USA,Boeing,Navigation,1979-03-09,1979,1,MEO,338.6,Operational
SAT-0000168,MSN-0000168,US-SAT-000168,USA,Boeing,Navigation,1979-03-09,1979,1,MEO,1407.2,Retired
SAT-0000169,MSN-0000169,CH-SAT-000169,China,CNSA,Earth Observation,1993-07-17,1993,3,MEO,7058.8,Operational
SAT-0000170,MSN-0000170,US-SAT-000170,USA,Northrop Grumman,Earth Observation,2024-09-12,2024,3,LEO,6158.5,Retired
SAT-0000171,MSN-0000171,US-SAT-000171,USA,SpaceX,Navigation,2017-09-15,2017,3,GEO,635.2,Retired
SAT-0000172,MSN-0000173,US-SAT-000172,USA,Boeing,Earth Observation,1979-07-19,1979,3,SSO,4472.2,Retired
SAT-0000173,MSN-0000175,ES-SAT-000173,ESA,Arianespace,Weather Monitoring,2023-02-07,2023,1,LEO,2379.0,Operational
SAT-0000174,MSN-0000176,ES-SAT-000174,ESA,Arianespace,Scientific Research,1982-04-18,1982,2,Lunar,666.7,Retired
SAT-0000175,MSN-0000177,US-SAT-000175,USA,SpaceX,Technology Testing,1996-06-22,1996,2,GEO,5727.5,Retired
SAT-0000176,MSN-0000179,SO-SAT-000176,South Korea,KARI,Scientific Research,1992-02-19,1992,1,GEO,1143.4,Retired
SAT-0000177,MSN-0000180,US-SAT-000177,USA,Northrop Grumman,Earth Observation,1997-08-21,1997,3,MEO,506.8,Retired
SAT-0000178,MSN-0000182,RU-SAT-000178,Russia,ISS-Reshetnev,Communications,2013-03-01,2013,1,Heliocentric,2775.7,Operational
SAT-0000179,MSN-0000184,US-SAT-000179,USA,Rocket Lab,Scientific Research,1985-01-27,1985,1,SSO,4944.7,Failed
SAT-0000180,MSN-0000186,US-SAT-000180,USA,Rocket Lab,Communications,1992-02-11,1992,1,MEO,3853.2,Operational
SAT-0000181,MSN-0000187,ES-SAT-000181,ESA,ESA,Scientific Research,2008-04-06,2008,2,SSO,1895.4,Failed
SAT-0000182,MSN-0000188,US-SAT-000182,USA,ULA,Military,2003-04-01,2003,2,LEO,20990.4,Operational
SAT-0000183,MSN-0000189,US-SAT-000183,USA,Rocket Lab,Scientific Research,1964-11-12,1964,4,LEO,1023.8,Failed
SAT-0000184,MSN-0000190,GE-SAT-000184,Germany,DLR,Scientific Research,1994-02-21,1994,1,LEO,52.8,In Testing
SAT-0000185,MSN-0000191,RU-SAT-000185,Russia,Roscosmos,Earth Observation,1998-12-18,1998,4,MEO,12624.6,Retired
SAT-0000186,MSN-0000192,CH-SAT-000186,China,CASC,Communications,2022-02-02,2022,1,HEO,3366.5,Partially Operational
SAT-0000187,MSN-0000193,FR-SAT-000187,France,Arianespace,Earth Observation,2013-12-19,2013,4,LEO,1265.3,Operational
SAT-0000188,MSN-0000194,US-SAT-000188,USA,SpaceX,Communications,2018-12-01,2018,4,LEO,2661.4,Operational
SAT-0000189,MSN-0000196,RU-SAT-000189,Russia,Roscosmos,Communications,1999-07-13,1999,3,GEO,24616.7,Failed
SAT-0000190,MSN-0000197,RU-SAT-000190,Russia,ISS-Reshetnev,Technology Testing,2006-09-05,2006,3,SSO,2411.7,Operational
SAT-0000191,MSN-0000198,JA-SAT-000191,Japan,JAXA,Earth Observation,1997-05-07,1997,2,LEO,4094.9,Partially Operational
SAT-0000192,MSN-0000199,US-SAT-000192,USA,NASA,Navigation,2002-11-23,2002,4,LEO,1819.7,Failed
SAT-0000193,MSN-0000200,OT-SAT-000193,Other,Unknown Agency,Military,2022-10-11,2022,4,GEO,3938.1,Retired
SAT-0000194,MSN-0000202,US-SAT-000194,USA,SpaceX,Military,2011-07-26,2011,3,LEO,2885.5,Operational
SAT-0000195,MSN-0000203,US-SAT-000195,USA,Boeing,Communications,1990-04-10,1990,2,LEO,1982.4,Operational
SAT-0000196,MSN-0000204,US-SAT-000196,USA,Rocket Lab,Weather Monitoring,1987-11-03,1987,4,SSO,2562.9,Operational
SAT-0000197,MSN-0000204,US-SAT-000197,USA,Rocket Lab,Military,1987-11-03,1987,4,SSO,2738.3,Retired
SAT-0000198,MSN-0000205,US-SAT-000198,USA,Boeing,Communications,2009-01-28,2009,1,LEO,7102.5,Failed
SAT-0000199,MSN-0000206,UK-SAT-000199,UK,UKSA,Navigation,2021-04-07,2021,2,MEO,4519.2,Retired
SAT-0000200,MSN-0000207,ES-SAT-000200,ESA,Arianespace,Space Exploration,1990-06-25,1990,2,LEO,2376.9,Operational
SAT-0000201,MSN-0000208,JA-SAT-000201,Japan,JAXA,Communications,2016-06-07,2016,2,LEO,675.7,Partially Operational
SAT-0000202,MSN-0000209,US-SAT-000202,USA,Boeing,Communications,2008-12-14,2008,4,LEO,3759.6,Retired
SAT-0000203,MSN-0000210,UA-SAT-000203,UAE,UAESA,Navigation,2016-08-24,2016,3,MEO,4050.5,Operational
SAT-0000204,MSN-0000211,ES-SAT-000204,ESA,ESA,Communications,2022-09-21,2022,3,GEO,2236.8,Operational
SAT-0000205,MSN-0000213,ES-SAT-000205,ESA,Arianespace,Earth Observation,2004-08-01,2004,3,GEO,2262.2,Retired
SAT-0000206,MSN-0000214,JA-SAT-000206,Japan,MHI,Communications,2018-03-04,2018,1,GEO,1243.6,Operational
SAT-0000207,MSN-0000217,JA-SAT-000207,Japan,MHI,Technology Testing,1996-02-17,1996,1,LEO,2270.2,Operational
SAT-0000208,MSN-0000218,US-SAT-000208,USA,NASA,Communications,2021-10-22,2021,4,LEO,3324.9,Retired
SAT-0000209,MSN-0000219,CH-SAT-000209,China,CASIC,Scientific Research,2014-07-03,2014,3,LEO,601.5,Partially Operational
SAT-0000210,MSN-0000220,ES-SAT-000210,ESA,ESA,Communications,2013-02-17,2013,1,LEO,960.8,Operational
