research_id,mission_id,country,experiment_type,research_domain,duration_days,data_generated_gb,personnel_required,equipment_count,resource_cost_musd,success,year
RSH-0000021,MSN-0034185,Russia,Cosmic Dust Analysis,Space Botany,312,1156.0,39,10,32.42,True,2012
RSH-0000022,MSN-0026860,China,Fluid Dynamics,Relativistic Physics,81,1225.7,8,14,44.68,True,2013
RSH-0000023,MSN-0076031,Germany,Fluid Dynamics,Space Botany,183,710.1,3,14,45.02,True,1995
RSH-0000024,MSN-0084578,USA,Plasma Physics,Space Botany,656,486.9,15,11,38.83,True,2023
RSH-0000025,MSN-0044229,China,Fluid Dynamics,Astrophysics,411,722.5,30,10,26.8,True,1997
RSH-0000026,MSN-0077079,Germany,Cosmic Dust Analysis,Quantum Communications,661,2526.4,23,9,35.29,True,2005
RSH-0000027,MSN-0031165,Brazil,Cosmic Dust Analysis,Microgravity Biology,717,2000.6,14,9,38.95,False,1979
RSH-0000028,MSN-0021949,Japan,Spectroscopic Survey,Astrophysics,436,901.0,8,15,0.84,True,2004
RSH-0000029,MSN-0096840,Russia,Fluid Dynamics,Quantum Communications,471,379.3,32,4,7.0,True,2015
RSH-0000030,MSN-0058528,Germany,Cosmic Dust Analysis,Astrophysics,597,2209.1,28,1,35.49,True,2003
RSH-0000031,MSN-0053756,China,Thermal Imaging,Exoplanetology,129,762.1,26,2,46.38,True,1996
RSH-0000032,MSN-0032686,Russia,Thermal Imaging,Planetary Geology,390,1923.4,19,15,48.41,True,1996
RSH-0000033,MSN-0040401,Russia,Radiation Profiling,Space Botany,614,393.0,32,7,40.04,True,1972
RSH-0000034,MSN-0014841,China,Spectroscopic Survey,Space Botany,89,732.2,33,15,3.59,True,1961
RSH-0000035,MSN-0003085,UK,Cosmic Dust Analysis,Astrophysics,562,2814.7,42,5,29.85,True,1996
RSH-0000036,MSN-0010386,Russia,Thermal Imaging,Astrophysics,543,3018.5,24,4,14.23,True,2011
RSH-0000037,MSN-0036880,USA,Cosmic Dust Analysis,Quantum Communications,125,631.7,21,11,13.03,True,2023
RSH-0000038,MSN-0091060,India,Autonomous Navigation,Relativistic Physics,342,1098.3,29,9,1.1,True,1969
RSH-0000039,MSN-0039517,India,Radiation Profiling,Solar Dynamics,422,1652.0,13,11,15.14,True,1967
RSH-0000040,MSN-0058712,USA,Radiation Profiling,Materials Science,604,1030.9,13,5,10.09,True,2008
RSH-0000041,MSN-0058354,China,Autonomous Navigation,Quantum Communications,517,1520.4,16,13,3.59,True,2021
RSH-0000042,MSN-0018236,France,Spectroscopic Survey,Relativistic Physics,472,486.7,25,11,26.66,False,1987
RSH-0000043,MSN-0081928,USA,Lidar Surface Mapping,Atmospheric Physics,227,2782.3,33,12,21.6,True,1974
RSH-0000044,MSN-0016970,Russia,Cosmic Dust Analysis,Relativistic Physics,125,2006.3,20,1,47.22,True,1974
RSH-0000045,MSN-0095705,Russia,Fluid Dynamics,Materials Science,279,939.5,9,2,23.01,False,2015
RSH-0000046,MSN-0045684,India,Gravitational Wave Detection,Relativistic Physics,117,510.6,36,5,18.24,False,2007
RSH-0000047,MSN-0066644,USA,Spectroscopic Survey,Microgravity Biology,604,1190.4,16,5,33.79,True,1991
RSH-0000048,MSN-0052115,China,Lidar Surface Mapping,Planetary Geology,705,441.3,32,12,4.88,False,1999
RSH-0000049,MSN-0018334,China,Fluid Dynamics,Materials Science,668,726.7,23,9,19.11,True,1986
RSH-0000050,MSN-0074151,USA,Gravitational Wave Detection,Space Botany,41,383.7,6,12,18.44,False,1983
RSH-0000051,MSN-0021277,Germany,Plasma Physics,Exoplanetology,618,351.3,12,12,39.99,True,2016
RSH-0000052,MSN-0058722,USA,Cosmic Dust Analysis,Astrophysics,507,713.2,41,2,28.62,True,2016
RSH-0000053,MSN-0011751,Russia,Lidar Surface Mapping,Space Botany,101,580.0,36,9,9.47,True,1983
RSH-0000054,MSN-0049751,ESA,Lidar Surface Mapping,Planetary Geology,552,880.8,23,10,18.09,True,2016
RSH-0000055,MSN-0009759,USA,Autonomous Navigation,Planetary Geology,391,922.8,27,11,32.58,True,1987
RSH-0000056,MSN-0050721,USA,Thermal Imaging,Astrophysics,168,2659.2,16,15,10.35,False,2001
RSH-0000057,MSN-0027433,USA,Autonomous Navigation,Materials Science,104,435.3,14,7,37.75,True,1971
RSH-0000058,MSN-0026274,USA,Orbital Crystallography,Exoplanetology,394,409.8,35,15,29.45,False,2024
RSH-0000059,MSN-0057633,USA,Plasma Physics,Atmospheric Physics,210,608.2,4,5,16.97,True,2024
RSH-0000060,MSN-0046764,USA,Thermal Imaging,Atmospheric Physics,59,1375.5,16,6,31.57,True,2001
RSH-0000061,MSN-0002370,USA,Radiation Profiling,Quantum Communications,435,259.2,41,2,39.62,True,2020
RSH-0000062,MSN-0010279,Japan,Fluid Dynamics,Atmospheric Physics,515,3434.0,43,9,35.49,False,1994
RSH-0000063,MSN-0013499,Germany,Spectroscopic Survey,Planetary Geology,493,871.6,2,5,5.17,True,2017
RSH-0000064,MSN-0053337,USA,Fluid Dynamics,Microgravity Biology,88,166.9,7,1,48.2,True,2015
RSH-0000065,MSN-0012903,ESA,Autonomous Navigation,Planetary Geology,599,557.5,5,13,41.11,True,1991
RSH-0000066,MSN-0009636,China,Lidar Surface Mapping,Exoplanetology,541,1695.9,20,5,7.58,True,2011
RSH-0000067,MSN-0083620,USA,Gravitational Wave Detection,Solar Dynamics,556,404.8,38,3,41.59,True,2003
RSH-0000068,MSN-0093507,USA,Gravitational Wave Detection,Microgravity Biology,682,630.7,19,4,43.51,True,1968
RSH-0000069,MSN-0011365,China,Plasma Physics,Exoplanetology,339,812.0,13,5,16.32,True,1975
RSH-0000070,MSN-0080750,China,Autonomous Navigation,Microgravity Biology,419,1415.2,11,7,23.37,True,2001
RSH-0000071,MSN-0079063,Russia,Orbital Crystallography,Space Botany,691,1479.1,6,6,31.85,True,1997
RSH-0000072,MSN-0050027,USA,Spectroscopic Survey,Solar Dynamics,624,2400.1,9,2,45.9,True,1966
RSH-0000073,MSN-0094473,USA,Cosmic Dust Analysis,Relativistic Physics,40,930.5,12,12,13.92,True,1987
RSH-0000074,MSN-0070361,USA,Plasma Physics,Solar Dynamics,177,1976.0,8,2,24.91,True,2016
RSH-0000075,MSN-0029934,France,Orbital Crystallography,Quantum Communications,323,675.9,29,10,47.25,True,1990
RSH-0000076,MSN-0033421,USA,Plasma Physics,Exoplanetology,69,324.4,2,15,34.84,True,2023
RSH-0000077,MSN-0020442,ESA,Gravitational Wave Detection,Exoplanetology,521,380.9,13,1,2.08,True,2015
RSH-0000078,MSN-0072735,Russia,Gravitational Wave Detection,Atmospheric Physics,127,819.9,37,13,13.91,True,1985
RSH-0000079,MSN-0045682,Italy,Thermal Imaging,Solar Dynamics,23,705.1,30,6,19.99,True,2018
RSH-0000080,MSN-0027548,Russia,Autonomous Navigation,Astrophysics,278,529.5,2,5,47.08,True,1980
RSH-0000081,MSN-0061110,Germany,Cosmic Dust Analysis,Microgravity Biology,55,1532.6,11,9,27.87,True,1978
RSH-0000082,MSN-0091339,USA,Spectroscopic Survey,Materials Science,658,342.7,39,6,10.55,True,1960
RSH-0000083,MSN-0080599,USA,Lidar Surface Mapping,Astrophysics,155,1503.9,12,6,47.59,True,2012
RSH-0000084,MSN-0006396,India,Gravitational Wave Detection,Astrophysics,457,679.7,43,9,39.7,True,2003
RSH-0000085,MSN-0061808,Russia,Gravitational Wave Detection,Quantum Communications,158,315.8,4,7,24.31,False,2009
RSH-0000086,MSN-0038468,ESA,Cosmic Dust Analysis,Quantum Communications,296,585.6,24,7,26.13,True,2008
RSH-0000087,MSN-0059236,Russia,Lidar Surface Mapping,Space Botany,144,248.7,38,14,9.28,True,1987
RSH-0000088,MSN-0076192,USA,Autonomous Navigation,Atmospheric Physics,51,318.0,2,8,33.78,True,2006
RSH-0000089,MSN-0012455,USA,Cosmic Dust Analysis,Solar Dynamics,97,4547.5,28,14,28.89,True,2014
RSH-0000090,MSN-0006858,USA,Gravitational Wave Detection,Solar Dynamics,373,348.9,7,6,44.72,False,2003
RSH-0000091,MSN-0040279,Japan,Radiation Profiling,Planetary Geology,516,1150.1,3,6,17.02,True,1966
RSH-0000092,MSN-0038266,China,Plasma Physics,Solar Dynamics,230,2859.7,18,2,13.63,True,2001
RSH-0000093,MSN-0025144,China,Orbital Crystallography,Microgravity Biology,686,1590.7,5,9,25.98,True,2024
RSH-0000094,MSN-0051304,USA,Cosmic Dust Analysis,Exoplanetology,609,2327.8,36,8,25.02,True,2001
RSH-0000095,MSN-0052768,USA,Cosmic Dust Analysis,Atmospheric Physics,554,1091.8,3,1,1.7,True,2000
RSH-0000096,MSN-0071089,Russia,Fluid Dynamics,Exoplanetology,171,240.1,39,8,33.98,True,2001
RSH-0000097,MSN-0054866,USA,Fluid Dynamics,Atmospheric Physics,237,1973.1,41,1,22.72,True,1983
RSH-0000098,MSN-0097062,China,Gravitational Wave Detection,Quantum Communications,667,3441.5,31,7,25.66,True,1994
RSH-0000099,MSN-0055005,USA,Cosmic Dust Analysis,Astrophysics,321,2204.4,37,4,36.24,False,1984
RSH-0000100,MSN-0019263,France,Radiation Profiling,Relativistic Physics,238,2612.3,28,7,9.77,True,1998
RSH-0000101,MSN-0063865,USA,Thermal Imaging,Microgravity Biology,652,152.5,22,4,29.19,True,1988
RSH-0000102,MSN-0096660,Russia,Spectroscopic Survey,Planetary Geology,607,1374.3,29,13,20.88,True,1998
RSH-0000103,MSN-0078457,India,Gravitational Wave Detection,Materials Science,182,6311.1,16,4,37.49,True,2013
RSH-0000104,MSN-0009781,South Korea,Orbital Crystallography,Astrophysics,355,1410.8,21,6,37.9,False,1983
RSH-0000105,MSN-0087720,ESA,Lidar Surface Mapping,Atmospheric Physics,582,1691.5,44,1,15.44,True,2014
RSH-0000106,MSN-0060603,Russia,Orbital Crystallography,Planetary Geology,327,1096.5,3,15,28.75,True,2013
RSH-0000107,MSN-0038090,Russia,Spectroscopic Survey,Exoplanetology,641,1108.5,15,2,31.46,False,2021
RSH-0000108,MSN-0027372,Russia,Radiation Profiling,Solar Dynamics,704,443.6,3,15,6.52,True,2020
RSH-0000109,MSN-0007684,Russia,Lidar Surface Mapping,Solar Dynamics,403,1527.6,21,11,17.84,False,2020
RSH-0000110,MSN-0028158,Japan,Orbital Crystallography,Atmospheric Physics,36,974.5,42,12,4.69,True,2015
RSH-0000111,MSN-0024644,India,Plasma Physics,Planetary Geology,256,298.0,32,8,11.06,True,1971
RSH-0000112,MSN-0042999,USA,Lidar Surface Mapping,Materials Science,568,1163.7,36,7,36.25,True,2024
RSH-0000113,MSN-0094403,Israel,Autonomous Navigation,Solar Dynamics,530,970.1,36,15,4.19,True,1969
RSH-0000114,MSN-0021722,UAE,Orbital Crystallography,Exoplanetology,264,944.5,8,15,10.01,True,1971
RSH-0000115,MSN-0031015,USA,Cosmic Dust Analysis,Space Botany,102,488.6,39,9,25.96,False,2020
RSH-0000116,MSN-0032945,France,Gravitational Wave Detection,Relativistic Physics,100,261.2,27,11,26.13,True,1977
RSH-0000117,MSN-0018220,USA,Lidar Surface Mapping,Space Botany,524,2328.4,28,12,5.61,True,1999
RSH-0000118,MSN-0011593,Russia,Autonomous Navigation,Space Botany,467,4284.4,31,7,30.75,True,2014
RSH-0000119,MSN-0066353,China,Lidar Surface Mapping,Microgravity Biology,676,790.1,34,6,19.04,False,2009
RSH-0000120,MSN-0082086,USA,Radiation Profiling,Space Botany,425,790.1,22,8,3.03,False,1990
RSH-0000121,MSN-0081052,ESA,Thermal Imaging,Materials Science,275,3849.9,6,2,26.26,True,1989
RSH-0000122,MSN-0016624,Russia,Lidar Surface Mapping,Atmospheric Physics,541,687.4,20,15,10.39,True,2013
RSH-0000123,MSN-0091413,Brazil,Radiation Profiling,Astrophysics,428,6434.6,37,11,35.2,True,1974
RSH-0000124,MSN-0008636,Russia,Radiation Profiling,Space Botany,273,451.6,34,15,2.17,True,2004
RSH-0000125,MSN-0093988,USA,Thermal Imaging,Planetary Geology,123,486.5,7,5,22.76,False,2013
RSH-0000126,MSN-0042059,USA,Thermal Imaging,Planetary Geology,342,1665.4,9,1,4.26,True,2022
RSH-0000127,MSN-0086232,Germany,Orbital Crystallography,Materials Science,250,2409.9,5,7,2.53,True,2000
RSH-0000128,MSN-0070192,Germany,Cosmic Dust Analysis,Relativistic Physics,208,1544.8,21,2,24.64,True,1983
RSH-0000129,MSN-0098513,USA,Lidar Surface Mapping,Microgravity Biology,71,1206.4,43,9,28.96,True,2007
RSH-0000130,MSN-0073691,USA,Thermal Imaging,Solar Dynamics,628,402.6,40,13,1.23,True,1989
RSH-0000131,MSN-0042683,Russia,Radiation Profiling,Atmospheric Physics,596,769.9,28,10,15.59,False,2019
RSH-0000132,MSN-0044027,USA,Gravitational Wave Detection,Astrophysics,208,3234.7,39,3,7.12,False,2022
RSH-0000133,MSN-0036407,Russia,Gravitational Wave Detection,Space Botany,50,4034.3,41,13,20.55,True,2001
RSH-0000134,MSN-0083589,Canada,Fluid Dynamics,Microgravity Biology,70,175.0,16,7,6.84,True,2010
RSH-0000135,MSN-0087691,USA,Fluid Dynamics,Exoplanetology,678,991.5,16,6,36.97,True,1988
RSH-0000136,MSN-0026332,India,Orbital Crystallography,Planetary Geology,387,1076.9,37,2,45.46,True,1991
RSH-0000137,MSN-0001721,Russia,Radiation Profiling,Space Botany,94,391.3,16,12,15.35,False,2007
RSH-0000138,MSN-0001568,USA,Plasma Physics,Space Botany,573,558.3,16,1,16.47,True,1996
RSH-0000139,MSN-0044480,Other,Fluid Dynamics,Solar Dynamics,145,2274.4,10,15,2.88,True,1987
RSH-0000140,MSN-0023824,Russia,Radiation Profiling,Relativistic Physics,20,1603.7,30,8,44.19,True,2002
RSH-0000141,MSN-0013652,China,Cosmic Dust Analysis,Materials Science,322,2238.4,6,6,24.14,True,2016
RSH-0000142,MSN-0040437,USA,Autonomous Navigation,Planetary Geology,359,3361.6,27,1,8.72,True,1977
RSH-0000143,MSN-0050964,USA,Radiation Profiling,Relativistic Physics,23,3167.9,6,15,23.05,True,2008
RSH-0000144,MSN-0051102,Russia,Fluid Dynamics,Space Botany,128,302.4,31,2,46.89,False,2019
RSH-0000145,MSN-0075964,Russia,Autonomous Navigation,Microgravity Biology,517,2242.1,40,3,1.78,True,1982
RSH-0000146,MSN-0070953,China,Cosmic Dust Analysis,Relativistic Physics,471,2689.6,26,7,8.28,True,1990
RSH-0000147,MSN-0096274,France,Gravitational Wave Detection,Space Botany,370,1243.9,42,14,20.7,True,2004
RSH-0000148,MSN-0029787,Germany,Thermal Imaging,Astrophysics,406,2025.3,14,8,27.62,True,2023
RSH-0000149,MSN-0025357,India,Lidar Surface Mapping,Solar Dynamics,326,263.8,2,15,26.9,True,1994
RSH-0000150,MSN-0033978,Japan,Spectroscopic Survey,Quantum Communications,390,435.1,28,10,41.84,True,2009
RSH-0000151,MSN-0090331,India,Orbital Crystallography,Relativistic Physics,675,620.0,10,14,4.75,True,1980
RSH-0000152,MSN-0079918,China,Lidar Surface Mapping,Astrophysics,592,400.1,20,14,1.53,True,2018
RSH-0000153,MSN-0006641,USA,Orbital Crystallography,Relativistic Physics,715,698.6,20,13,18.2,True,2002
RSH-0000154,MSN-0068193,China,Plasma Physics,Astrophysics,213,1055.1,32,13,27.67,True,2024
RSH-0000155,MSN-0051104,China,Thermal Imaging,Quantum Communications,441,328.9,24,13,14.53,True,2023
RSH-0000156,MSN-0038966,China,Radiation Profiling,Astrophysics,345,675.1,44,10,13.05,True,1961
RSH-0000157,MSN-0043279,France,Plasma Physics,Relativistic Physics,305,251.5,22,9,1.29,True,1999
RSH-0000158,MSN-0078321,Russia,Fluid Dynamics,Astrophysics,175,352.8,43,2,14.11,False,1999
RSH-0000159,MSN-0091144,USA,Lidar Surface Mapping,Microgravity Biology,147,1521.4,41,7,39.26,True,2000
RSH-0000160,MSN-0041843,USA,Plasma Physics,Astrophysics,192,712.8,32,5,35.12,True,2021
RSH-0000161,MSN-0065149,USA,Fluid Dynamics,Exoplanetology,459,1015.1,3,15,25.54,False,2020
RSH-0000162,MSN-0025005,Germany,Radiation Profiling,Planetary Geology,319,252.1,32,4,16.19,True,2021
RSH-0000163,MSN-0094978,South Korea,Cosmic Dust Analysis,Exoplanetology,230,833.5,3,1,26.26,False,2022
RSH-0000164,MSN-0054131,Japan,Gravitational Wave Detection,Solar Dynamics,86,2454.7,39,11,21.08,True,2015
RSH-0000165,MSN-0065502,USA,Spectroscopic Survey,Relativistic Physics,382,541.3,20,4,4.02,False,2023
RSH-0000166,MSN-0015310,USA,Radiation Profiling,Quantum Communications,235,775.0,24,9,23.53,True,2018
RSH-0000167,MSN-0002549,Russia,Radiation Profiling,Astrophysics,711,491.7,25,12,41.83,True,2000
RSH-0000168,MSN-0082653,Russia,Gravitational Wave Detection,Space Botany,237,1054.4,13,14,40.72,True,1995
RSH-0000169,MSN-0059229,Russia,Orbital Crystallography,Planetary Geology,175,1054.3,13,6,28.5,True,1991
RSH-0000170,MSN-0084583,China,Plasma Physics,Exoplanetology,195,2447.4,4,11,33.13,True,2014
RSH-0000171,MSN-0005744,China,Plasma Physics,Atmospheric Physics,314,1787.2,41,7,28.21,True,1979
RSH-0000172,MSN-0044604,China,Orbital Crystallography,Quantum Communications,63,1225.6,24,14,42.17,True,2024
RSH-0000173,MSN-0054797,USA,Spectroscopic Survey,Relativistic Physics,165,1126.2,14,1,25.18,True,1968
RSH-0000174,MSN-0016995,South Korea,Autonomous Navigation,Quantum Communications,686,387.9,2,2,13.75,True,2022
RSH-0000175,MSN-0019472,France,Fluid Dynamics,Relativistic Physics,471,981.3,28,14,18.22,False,2023
RSH-0000176,MSN-0098955,USA,Thermal Imaging,Quantum Communications,134,153.1,5,5,11.66,True,2009
RSH-0000177,MSN-0027955,USA,Lidar Surface Mapping,Astrophysics,456,1685.1,39,1,35.48,True,2024
RSH-0000178,MSN-0000701,UK,Spectroscopic Survey,Exoplanetology,376,209.6,29,5,45.95,True,1993
RSH-0000179,MSN-0047779,USA,Lidar Surface Mapping,Exoplanetology,574,2700.3,14,4,21.91,True,1985
RSH-0000180,MSN-0017535,Other,Lidar Surface Mapping,Space Botany,530,1504.8,36,4,6.26,True,2005
RSH-0000181,MSN-0065541,USA,Spectroscopic Survey,Atmospheric Physics,186,245.4,24,5,1.05,False,2022
RSH-0000182,MSN-0035352,ESA,Radiation Profiling,Planetary Geology,663,1126.7,11,11,42.68,False,1999
RSH-0000183,MSN-0076601,USA,Autonomous Navigation,Materials Science,607,2770.5,44,7,5.49,True,2016
RSH-0000184,MSN-0029966,China,Fluid Dynamics,Relativistic Physics,656,1411.9,33,8,6.88,False,2017
RSH-0000185,MSN-0026899,USA,Gravitational Wave Detection,Exoplanetology,26,1863.6,15,12,31.86,True,2016
RSH-0000186,MSN-0053309,USA,Cosmic Dust Analysis,Quantum Communications,544,1961.1,17,9,19.92,True,2020
RSH-0000187,MSN-0095535,USA,Fluid Dynamics,Microgravity Biology,237,1870.5,12,11,25.78,True,2017
RSH-0000188,MSN-0021093,Russia,Autonomous Navigation,Atmospheric Physics,125,624.3,20,12,46.84,True,1971
RSH-0000189,MSN-0089577,India,Gravitational Wave Detection,Materials Science,580,763.3,44,10,22.84,False,2006
RSH-0000190,MSN-0053022,China,Radiation Profiling,Solar Dynamics,178,638.1,30,1,25.07,True,2006
RSH-0000191,MSN-0026678,USA,Orbital Crystallography,Solar Dynamics,592,1438.3,29,8,44.79,True,2019
RSH-0000192,MSN-0097238,Germany,Lidar Surface Mapping,Atmospheric Physics,578,2600.0,11,9,43.13,True,1974
RSH-0000193,MSN-0063313,USA,Spectroscopic Survey,Astrophysics,465,414.5,29,12,29.1,True,2003
RSH-0000194,MSN-0073490,USA,Cosmic Dust Analysis,Planetary Geology,524,2098.5,15,9,11.38,False,2020
RSH-0000195,MSN-0017662,UAE,Orbital Crystallography,Solar Dynamics,508,157.7,28,8,24.29,True,2016
RSH-0000196,MSN-0098555,India,Lidar Surface Mapping,Astrophysics,660,1185.9,40,2,33.7,False,1999
RSH-0000197,MSN-0092874,China,Gravitational Wave Detection,Exoplanetology,414,509.3,31,12,4.12,True,1995
RSH-0000198,MSN-0095490,Japan,Plasma Physics,Relativistic Physics,657,1798.4,17,15,24.07,True,2003
RSH-0000199,MSN-0096386,Russia,Thermal Imaging,Materials Science,262,2011.3,15,3,25.7,False,1986
RSH-0000200,MSN-0052650,France,Thermal Imaging,Planetary Geology,349,606.1,7,5,40.51,True,1992
RSH-0000201,MSN-0000925,USA,Autonomous Navigation,Materials Science,174,468.4,14,2,18.99,True,1999
RSH-0000202,MSN-0022213,China,Autonomous Navigation,Solar Dynamics,419,2113.3,31,8,42.6,False,2017
RSH-0000203,MSN-0050839,USA,Fluid Dynamics,Solar Dynamics,528,1711.9,25,12,23.67,True,2001
RSH-0000204,MSN-0097724,Russia,Gravitational Wave Detection,Materials Science,332,599.8,19,3,1.75,False,2006
RSH-0000205,MSN-0070643,China,Cosmic Dust Analysis,Materials Science,407,954.0,35,1,34.98,True,1967
RSH-0000206,MSN-0080770,India,Autonomous Navigation,Relativistic Physics,359,210.3,26,11,3.85,True,1980
RSH-0000207,MSN-0084246,Russia,Plasma Physics,Materials Science,385,332.1,26,6,34.62,True,2004
RSH-0000208,MSN-0040349,France,Gravitational Wave Detection,Quantum Communications,597,663.0,10,7,45.78,True,2024
RSH-0000209,MSN-0032235,USA,Spectroscopic Survey,Space Botany,490,801.4,42,11,18.95,True,1985
RSH-0000210,MSN-0059272,USA,Radiation Profiling,Materials Science,91,2230.5,24,8,48.28,False,2014
RSH-0000211,MSN-0090451,China,Gravitational Wave Detection,Materials Science,126,331.0,4,13,30.84,True,1999
RSH-0000212,MSN-0031971,ESA,Fluid Dynamics,Exoplanetology,208,1289.5,3,5,19.74,False,1978
RSH-0000213,MSN-0098667,Russia,Lidar Surface Mapping,Quantum Communications,451,475.5,13,2,17.72,False,2006
RSH-0000214,MSN-0013704,USA,Cosmic Dust Analysis,Planetary Geology,190,1660.8,44,5,22.41,True,2023
RSH-0000215,MSN-0066956,China,Radiation Profiling,Exoplanetology,134,931.4,33,2,34.04,True,1974
RSH-0000216,MSN-0029679,China,Fluid Dynamics,Quantum Communications,147,3233.3,44,8,18.17,True,2008
RSH-0000217,MSN-0001145,China,Lidar Surface Mapping,Atmospheric Physics,682,2855.6,21,14,23.58,True,2008
RSH-0000218,MSN-0048073,Italy,Thermal Imaging,Microgravity Biology,684,906.3,26,12,21.5,True,1990
RSH-0000219,MSN-0002003,Japan,Autonomous Navigation,Materials Science,214,2946.6,11,12,44.75,False,1964
RSH-0000220,MSN-0006230,China,Spectroscopic Survey,Space Botany,311,243.0,13,13,3.88,True,2010
RSH-0000221,MSN-0036282,USA,Thermal Imaging,Quantum Communications,441,740.7,43,10,40.93,True,1982
RSH-0000222,MSN-0024241,Other,Plasma Physics,Atmospheric Physics,28,1056.5,31,3,11.07,False,2005
RSH-0000223,MSN-0038386,Other,Gravitational Wave Detection,Microgravity Biology,105,388.7,13,4,9.74,True,2007
RSH-0000224,MSN-0047801,USA,Autonomous Navigation,Space Botany,713,1295.9,40,12,29.75,True,2021
RSH-0000225,MSN-0046558,USA,Radiation Profiling,Solar Dynamics,395,231.2,22,12,17.7,True,1973
RSH-0000226,MSN-0087792,UAE,Orbital Crystallography,Atmospheric Physics,195,878.3,14,13,6.06,True,2022
RSH-0000227,MSN-0019361,India,Autonomous Navigation,Relativistic Physics,54,1447.7,14,3,46.15,True,2023
RSH-0000228,MSN-0027817,USA,Cosmic Dust Analysis,Exoplanetology,459,893.2,20,12,10.13,True,2021
RSH-0000229,MSN-0056738,USA,Autonomous Navigation,Atmospheric Physics,487,366.2,16,7,39.49,True,2018
RSH-0000230,MSN-0025816,USA,Cosmic Dust Analysis,Materials Science,179,194.1,39,2,2.98,True,2014
RSH-0000231,MSN-0071007,Japan,Cosmic Dust Analysis,Exoplanetology,379,2872.6,15,10,43.8,True,1995
RSH-0000232,MSN-0085590,ESA,Gravitational Wave Detection,Microgravity Biology,452,635.8,5,12,10.26,True,2022
RSH-0000233,MSN-0010962,ESA,Orbital Crystallography,Microgravity Biology,401,195.2,24,15,7.8,True,2017
RSH-0000234,MSN-0079691,India,Autonomous Navigation,Quantum Communications,320,176.8,33,5,3.66,True,2001
RSH-0000235,MSN-0081687,USA,Lidar Surface Mapping,Astrophysics,697,351.4,28,9,10.52,True,2001
RSH-0000236,MSN-0049301,South Korea,Fluid Dynamics,Solar Dynamics,548,157.1,10,7,8.23,False,1968
RSH-0000237,MSN-0073034,Russia,Cosmic Dust Analysis,Solar Dynamics,477,262.0,21,15,26.08,True,1997
RSH-0000238,MSN-0000232,USA,Orbital Crystallography,Space Botany,446,674.5,30,14,8.11,True,2004
RSH-0000239,MSN-0047044,Russia,Lidar Surface Mapping,Planetary Geology,623,811.6,17,3,47.34,True,2021
RSH-0000240,MSN-0031759,USA,Fluid Dynamics,Quantum Communications,41,2001.3,17,8,11.4,True,2004
RSH-0000241,MSN-0063496,Japan,Thermal Imaging,Planetary Geology,419,191.0,14,9,1.14,False,2005
RSH-0000242,MSN-0046569,USA,Thermal Imaging,Materials Science,582,190.1,44,7,3.9,True,2012
RSH-0000243,MSN-0058839,USA,Autonomous Navigation,Quantum Communications,522,1034.9,34,1,43.05,False,2019
