mission_id,mission_name,launch_date,year,quarter,month,country,agency,mission_type,launch_vehicle,orbit,payload_mass_kg,success,cost_million_usd
MSN-0000106,Russia-WEA-1980-0106,1980-11-21,1980,4,11,Russia,ISS-Reshetnev,Weather,GSLV,MEO,2639.5,True,7.18
MSN-0000107,Russia-CRE-1999-0107,1999-12-04,1999,4,12,Russia,ISS-Reshetnev,Crewed Mission,Long March 2,LEO,12538.1,True,8.37
MSN-0000108,Japan-EAR-1978-0108,1978-12-12,1978,4,12,Japan,MHI,Earth Observation,Antares,GEO,832.9,True,1.81
MSN-0000109,Russia-MIL-2022-0109,2022-07-28,2022,3,7,Russia,Roscosmos,Military Reconnaissance,Falcon Heavy,GTO,2496.5,True,2.21
MSN-0000110,Russia-DEE-1997-0110,1997-09-12,1997,3,9,Russia,ISS-Reshetnev,Deep Space,Delta IV,MEO,2176.3,True,5.69
MSN-0000111,Brazil-CRE-2010-0111,2010-11-18,2010,4,11,Brazil,AEB,Crewed Mission,Falcon 9,GEO,10791.9,True,24.35
MSN-0000112,USA-COM-1962-0112,1962-03-19,1962,1,3,USA,Rocket Lab,Communications,NURI,LEO,2425.9,True,7.11
MSN-0000113,USA-SCI-1998-0113,1998-08-11,1998,3,8,USA,NASA,Science,Electron,LEO,1523.3,True,4.13
MSN-0000114,USA-WEA-1972-0114,1972-02-09,1972,1,2,USA,Boeing,Weather,Ariane 5,GEO,347.8,True,0.53
MSN-0000115,USA-NAV-1996-0115,1996-02-10,1996,1,2,USA,Boeing,Navigation,NURI,GEO,817.6,True,2.42
MSN-0000116,USA-EAR-2023-0116,2023-03-25,2023,1,3,USA,Boeing,Earth Observation,Proton-M,LEO,1599.5,True,3.79
MSN-0000117,USA-COM-2014-0117,2014-09-18,2014,3,9,USA,NASA,Communications,NURI,SSO,8577.7,True,14.15
MSN-0000118,USA-COM-2001-0118,2001-07-23,2001,3,7,USA,NASA,Communications,Shavit,LEO,6740.9,True,19.65
MSN-0000119,USA-SUP-2003-0119,2003-12-12,2003,4,12,USA,NASA,Supply/Resupply,Atlas V,LEO,9683.3,True,14.42
MSN-0000120,USA-COM-1996-0120,1996-03-03,1996,1,3,USA,SpaceX,Communications,PSLV,GEO,6320.4,True,17.47
MSN-0000121,Russia-TEC-2018-0121,2018-03-08,2018,1,3,Russia,Roscosmos,Technology Demonstration,Delta IV,LEO,632.5,True,0.6
MSN-0000122,India-NAV-2016-0122,2016-10-15,2016,4,10,India,ISRO,Navigation,NURI,HEO,3027.4,True,8.05
MSN-0000123,China-EAR-1974-0123,1974-08-21,1974,3,8,China,GALACTIC ENERGY,Earth Observation,Angara,SSO,874.4,True,1.43
MSN-0000124,USA-DEE-1975-0124,1975-02-20,1975,1,2,USA,Northrop Grumman,Deep Space,H3,GEO,2240.9,True,6.47
MSN-0000125,ESA-EAR-2021-0125,2021-10-21,2021,4,10,ESA,ESA,Earth Observation,Vulcan Centaur,LEO,1047.8,True,2.65
MSN-0000126,Japan-SPA-1976-0126,1976-11-06,1976,4,11,Japan,MHI,Space Station,Falcon Heavy,LEO,20697.8,True,37.47
MSN-0000127,China-COM-2022-0127,2022-07-14,2022,3,7,China,CASIC,Communications,Long March 2,GEO,7672.2,True,5.65
MSN-0000128,ESA-COM-2014-0128,2014-11-20,2014,4,11,ESA,ESA,Communications,Antares,LEO,5912.4,True,16.51
MSN-0000129,USA-SCI-2012-0129,2012-03-20,2012,1,3,USA,SpaceX,Science,Other,HEO,1480.0,True,3.22
MSN-0000130,Japan-TEC-2013-0130,2013-09-03,2013,3,9,Japan,JAXA,Technology Demonstration,Shavit,GEO,771.5,True,1.09
MSN-0000131,USA-EAR-2023-0131,2023-08-07,2023,3,8,USA,Northrop Grumman,Earth Observation,Soyuz,Lunar,1876.8,True,4.56
MSN-0000132,Japan-MIL-1970-0132,1970-06-25,1970,2,6,Japan,JAXA,Military Reconnaissance,H3,LEO,5385.0,True,5.13
MSN-0000133,ESA-SCI-2021-0133,2021-12-15,2021,4,12,ESA,Arianespace,Science,Falcon Heavy,LEO,1504.2,True,3.58
MSN-0000134,India-COM-1990-0134,1990-08-27,1990,3,8,India,ISRO,Communications,Vulcan Centaur,LEO,3681.9,False,6.09
MSN-0000135,USA-COM-2006-0135,2006-03-27,2006,1,3,USA,ULA,Communications,Vulcan Centaur,SSO,5978.7,True,11.28
MSN-0000136,USA-DEE-2019-0136,2019-05-03,2019,2,5,USA,SpaceX,Deep Space,Electron,LEO,3869.3,True,9.97
MSN-0000137,USA-MIL-2018-0137,2018-06-01,2018,2,6,USA,ULA,Military Reconnaissance,Long March 7,LEO,2533.4,False,2.69
MSN-0000138,USA-EAR-2014-0138,2014-06-26,2014,2,6,USA,Boeing,Earth Observation,Antares,LEO,1492.6,True,3.34
MSN-0000139,USA-TEC-2002-0139,2002-01-03,2002,1,1,USA,Northrop Grumman,Technology Demonstration,Falcon 9,LEO,692.6,True,1.08
MSN-0000140,India-COM-1980-0140,1980-04-14,1980,2,4,India,ISRO,Communications,Shavit,SSO,2827.8,True,7.33
MSN-0000141,Russia-SCI-2011-0141,2011-10-08,2011,4,10,Russia,ISS-Reshetnev,Science,Other,LEO,677.7,True,0.66
MSN-0000142,ESA-SCI-1997-0142,1997-09-18,1997,3,9,ESA,ESA,Science,PSLV,SSO,2334.7,True,3.45
MSN-0000143,Russia-SCI-2024-0143,2024-05-24,2024,2,5,Russia,Roscosmos,Science,Falcon 9,LEO,2409.2,True,5.85
MSN-0000144,ESA-COM-1971-0144,1971-09-11,1971,3,9,ESA,Arianespace,Communications,Shavit,LEO,5611.9,False,16.57
MSN-0000145,Russia-EAR-1981-0145,1981-12-25,1981,4,12,Russia,ISS-Reshetnev,Earth Observation,Ariane 5,LEO,1924.0,False,5.45
MSN-0000146,China-SPA-2007-0146,2007-05-02,2007,2,5,China,CNSA,Space Station,Shavit,LEO,33507.8,True,89.28
MSN-0000147,Russia-EAR-1998-0147,1998-07-24,1998,3,7,Russia,ISS-Reshetnev,Earth Observation,Ariane 5,SSO,50.0,True,0.07
MSN-0000148,India-COM-1976-0148,1976-07-03,1976,3,7,India,ISRO,Communications,Long March 7,GEO,8526.2,False,11.11
MSN-0000149,USA-TEC-1994-0149,1994-10-23,1994,4,10,USA,ULA,Technology Demonstration,Long March 7,LEO,193.5,True,0.39
MSN-0000150,Russia-SCI-2017-0150,2017-01-03,2017,1,1,Russia,Roscosmos,Science,NURI,GEO,2138.2,True,6.16
MSN-0000151,USA-SCI-2017-0151,2017-01-05,2017,1,1,USA,NASA,Science,Atlas V,LEO,1277.6,True,2.57
MSN-0000152,ESA-SUP-1998-0152,1998-02-19,1998,1,2,ESA,Arianespace,Supply/Resupply,Antares,GEO,6500.2,True,7.31
MSN-0000153,USA-TEC-2005-0153,2005-07-18,2005,3,7,USA,ULA,Technology Demonstration,Delta IV,LEO,478.9,False,1.07
MSN-0000154,Other-EAR-1982-0154,1982-02-15,1982,1,2,Other,Unknown Agency,Earth Observation,Electron,SSO,2368.0,True,5.98
MSN-0000155,Italy-SPA-2012-0155,2012-12-03,2012,4,12,Italy,ASI,Space Station,GSLV,GEO,32118.7,True,79.79
MSN-0000156,China-EAR-1987-0156,1987-03-08,1987,1,3,China,CASIC,Earth Observation,Ariane 6,LEO,514.4,True,0.86
MSN-0000157,Other-EAR-2020-0157,2020-02-10,2020,1,2,Other,Unknown Agency,Earth Observation,Long March 5,Lunar,1310.1,True,1.07
MSN-0000158,USA-EAR-2003-0158,2003-09-12,2003,3,9,USA,Rocket Lab,Earth Observation,Antares,SSO,541.5,True,1.07
MSN-0000159,India-EAR-2005-0159,2005-01-27,2005,1,1,India,ISRO,Earth Observation,Delta IV,GEO,1341.4,False,1.83
MSN-0000160,UAE-MIL-2019-0160,2019-05-07,2019,2,5,UAE,UAESA,Military Reconnaissance,Shavit,GTO,5120.9,True,10.43
MSN-0000161,USA-SCI-2009-0161,2009-10-05,2009,4,10,USA,Northrop Grumman,Science,Electron,GEO,1574.9,True,0.95
MSN-0000162,France-EAR-2023-0162,2023-10-09,2023,4,10,France,CNES,Earth Observation,Shavit,LEO,427.9,True,0.75
MSN-0000163,China-COM-2023-0163,2023-08-08,2023,3,8,China,GALACTIC ENERGY,Communications,NURI,LEO,2074.1,True,3.55
MSN-0000164,USA-SCI-1995-0164,1995-12-11,1995,4,12,USA,ULA,Science,Long March 3,Heliocentric,2195.6,True,3.92
MSN-0000165,USA-COM-1980-0165,1980-08-08,1980,3,8,USA,SpaceX,Communications,Antares,LEO,4507.7,True,13.1
MSN-0000166,UK-CRE-2022-0166,2022-12-11,2022,4,12,UK,OneWeb,Crewed Mission,Vulcan Centaur,MEO,19766.9,True,34.53
MSN-0000167,USA-EAR-2023-0167,2023-09-15,2023,3,9,USA,Rocket Lab,Earth Observation,Soyuz,LEO,1344.8,True,2.93
MSN-0000168,USA-EAR-1979-0168,1979-03-09,1979,1,3,USA,Boeing,Earth Observation,Long March 3,MEO,1705.7,True,1.07
MSN-0000169,China-COM-1993-0169,1993-07-17,1993,3,7,China,CNSA,Communications,Ariane 5,MEO,3883.8,True,3.19
MSN-0000170,USA-COM-2024-0170,2024-09-12,2024,3,9,USA,Northrop Grumman,Communications,Antares,LEO,10907.6,True,6.55
MSN-0000171,USA-TEC-2017-0171,2017-09-15,2017,3,9,USA,SpaceX,Technology Demonstration,Antares,GEO,233.8,True,0.35
MSN-0000172,China-DEE-2009-0172,2009-09-27,2009,3,9,China,CASIC,Deep Space,PSLV,GEO,2869.9,True,4.84
MSN-0000173,USA-COM-1979-0173,1979-07-19,1979,3,7,USA,Boeing,Communications,Angara,SSO,4528.6,True,5.27
MSN-0000174,China-SUP-2008-0174,2008-04-24,2008,2,4,China,GALACTIC ENERGY,Supply/Resupply,Falcon Heavy,GEO,4983.9,True,4.33
MSN-0000175,ESA-EAR-2023-0175,2023-02-07,2023,1,2,ESA,Arianespace,Earth Observation,Falcon 9,LEO,779.5,True,2.09
MSN-0000176,ESA-EAR-1982-0176,1982-04-18,1982,2,4,ESA,Arianespace,Earth Observation,Long March 2,Lunar,1903.3,True,2.44
MSN-0000177,USA-MIL-1996-0177,1996-06-22,1996,2,6,USA,SpaceX,Military Reconnaissance,NURI,GEO,3042.9,True,3.64
MSN-0000178,USA-SUP-2024-0178,2024-05-23,2024,2,5,USA,Boeing,Supply/Resupply,Vulcan Centaur,GEO,5427.4,True,7.45
MSN-0000179,South Korea-WEA-1992-0179,1992-02-19,1992,1,2,South Korea,KARI,Weather,NURI,GEO,1597.2,True,1.96
MSN-0000180,USA-TEC-1997-0180,1997-08-21,1997,3,8,USA,Northrop Grumman,Technology Demonstration,Proton-M,MEO,316.9,True,0.37
MSN-0000181,China-COM-1979-0181,1979-12-19,1979,4,12,China,CNSA,Communications,Soyuz,LEO,3812.0,False,2.86
MSN-0000182,Russia-NAV-2013-0182,2013-03-01,2013,1,3,Russia,ISS-Reshetnev,Navigation,GSLV,Heliocentric,1137.8,True,1.93
MSN-0000183,USA-SUP-1995-0183,1995-11-02,1995,4,11,USA,NASA,Supply/Resupply,Atlas V,GEO,8365.3,False,23.28
MSN-0000184,USA-MIL-1985-0184,1985-01-27,1985,1,1,USA,Rocket Lab,Military Reconnaissance,Long March 5,SSO,7256.2,True,21.08
MSN-0000185,Israel-MIL-1963-0185,1963-10-20,1963,4,10,Israel,ISA,Military Reconnaissance,Delta IV,HEO,2878.9,False,7.84
MSN-0000186,USA-NAV-1992-0186,1992-02-11,1992,1,2,USA,Rocket Lab,Navigation,Electron,MEO,2757.8,True,2.66
MSN-0000187,ESA-WEA-2008-0187,2008-04-06,2008,2,4,ESA,ESA,Weather,H3,SSO,1947.4,True,2.93
MSN-0000188,USA-SPA-2003-0188,2003-04-01,2003,2,4,USA,ULA,Space Station,Proton-M,LEO,10968.0,True,31.64
MSN-0000189,USA-TEC-1964-0189,1964-11-12,1964,4,11,USA,Rocket Lab,Technology Demonstration,Other,LEO,334.2,True,0.59
MSN-0000190,Germany-TEC-1994-0190,1994-02-21,1994,1,2,Germany,DLR,Technology Demonstration,Angara,LEO,208.1,True,0.35
MSN-0000191,Russia-SPA-1998-0191,1998-12-18,1998,4,12,Russia,Roscosmos,Space Station,Ariane 6,MEO,24798.1,True,44.98
MSN-0000192,China-COM-2022-0192,2022-02-02,2022,1,2,China,CASC,Communications,GSLV,HEO,1459.9,True,1.33
MSN-0000193,France-NAV-2013-0193,2013-12-19,2013,4,12,France,Arianespace,Navigation,Ariane 6,LEO,548.1,True,0.9
MSN-0000194,USA-NAV-2018-0194,2018-12-01,2018,4,12,USA,SpaceX,Navigation,Long March 5,LEO,1905.2,True,3.71
MSN-0000195,USA-COM-1974-0195,1974-01-03,1974,1,1,USA,Rocket Lab,Communications,Ariane 6,LEO,2122.4,False,4.49
MSN-0000196,Russia-SPA-1999-0196,1999-07-13,1999,3,7,Russia,Roscosmos,Space Station,Atlas V,GEO,27420.2,True,58.51
