record_id,mission_id,satellite_id,timestamp,country,mission_type,fuel_consumption_kg,energy_consumption_mwh,storage_usage_gb,bandwidth_usage_gbps,ground_station_hours,maintenance_hours,year
RES-0000035,MSN-0090233,SAT-0085014,1983-10-03,China,Navigation,382.02,30.94,3423.7,11.75,49.1,6.4,1983
RES-0000036,MSN-0056784,SAT-0053749,1993-11-02,Japan,Weather,287.95,42.01,3322.0,3.4,43.8,45.7,1993
RES-0000037,MSN-0056582,SAT-0053551,2013-06-14,UK,Earth Observation,72.69,36.47,11817.8,22.68,192.2,37.0,2013
RES-0000038,MSN-0077486,SAT-0073148,1979-07-26,USA,Science,242.43,36.84,10366.6,23.24,162.0,39.6,1979
RES-0000039,MSN-0041470,SAT-0039318,2023-04-23,Brazil,Communications,995.43,128.45,2579.2,10.01,48.0,29.3,2023
RES-0000040,MSN-0052761,SAT-VIRT-45597,1984-06-19,Russia,Deep Space,129.8,24.74,605.1,1.54,37.9,23.0,1984
RES-0000041,MSN-0060109,SAT-0056844,1987-05-19,Russia,Earth Observation,239.62,52.1,8896.0,18.03,143.2,47.9,1987
RES-0000042,MSN-0067221,SAT-0063485,2021-05-17,USA,Space Station,4565.94,344.09,2357.3,5.94,27.8,45.1,2021
RES-0000043,MSN-0070895,SAT-0066902,2000-08-17,Russia,Military Reconnaissance,662.5,140.51,977.9,12.19,30.2,31.3,2000
RES-0000044,MSN-0000942,SAT-VIRT-45118,1995-03-19,China,Weather,305.98,11.63,5130.8,12.08,108.6,17.9,1995
RES-0000045,MSN-0091344,SAT-0086103,1991-12-08,USA,Science,262.34,52.99,7024.8,41.07,198.2,13.5,1991
RES-0000046,MSN-0062659,SAT-VIRT-13156,2017-08-15,USA,Communications,634.51,86.88,2668.4,10.47,34.7,13.2,2017
RES-0000047,MSN-0081016,SAT-0076439,2005-05-04,Russia,Communications,652.66,112.03,1767.5,10.14,12.6,39.3,2005
RES-0000048,MSN-0062283,SAT-VIRT-13676,2016-06-09,USA,Supply/Resupply,1335.38,133.95,2781.9,6.01,48.9,14.7,2016
RES-0000049,MSN-0075424,SAT-0071230,1971-10-25,USA,Communications,455.06,35.59,2231.4,3.99,44.6,30.5,1971
RES-0000050,MSN-0088985,SAT-0083791,2019-11-12,China,Navigation,164.06,45.71,3346.3,10.22,23.5,41.1,2019
RES-0000051,MSN-0055827,SAT-0052814,1997-07-07,USA,Earth Observation,292.43,43.94,6726.0,48.12,204.3,25.3,1997
RES-0000052,MSN-0033611,SAT-VIRT-35671,1980-01-14,ESA,Communications,677.2,63.82,981.4,6.14,34.5,27.7,1980
RES-0000053,MSN-0023258,SAT-0022053,1997-11-17,Russia,Communications,616.31,60.37,2994.0,3.72,17.7,5.4,1997
RES-0000054,MSN-0003756,SAT-0003551,2014-10-13,Russia,Earth Observation,342.89,31.56,9806.9,31.86,53.2,9.9,2014
RES-0000055,MSN-0065710,SAT-VIRT-61217,2007-02-25,Russia,Science,532.92,64.33,5025.4,21.68,44.5,33.5,2007
RES-0000056,MSN-0079597,SAT-0075086,1999-07-03,Japan,Earth Observation,442.3,49.9,2144.7,10.29,205.7,43.6,1999
RES-0000057,MSN-0052770,SAT-0050033,2022-11-16,Russia,Earth Observation,39.45,28.15,8667.4,40.5,176.6,29.4,2022
RES-0000058,MSN-0090285,SAT-VIRT-50615,2015-11-03,Russia,Deep Space,395.61,51.27,1377.8,6.11,64.3,7.9,2015
RES-0000059,MSN-0086422,SAT-VIRT-11328,2024-02-06,USA,Supply/Resupply,818.51,145.64,1926.3,8.66,18.7,29.8,2024
RES-0000060,MSN-0003824,SAT-0003609,1962-07-06,UK,Communications,751.61,102.76,733.1,13.12,45.4,36.6,1962
RES-0000061,MSN-0017409,SAT-0016559,2019-01-25,USA,Communications,418.58,63.1,1243.3,6.71,47.0,6.3,2019
RES-0000062,MSN-0092923,SAT-0087580,2010-05-15,Japan,Navigation,463.6,29.95,1377.6,8.19,33.6,34.6,2010
RES-0000063,MSN-0039073,SAT-0037053,1995-11-11,ESA,Technology Demonstration,133.47,31.84,803.6,1.74,14.7,18.6,1995
RES-0000064,MSN-0004641,SAT-0004369,2018-04-09,USA,Navigation,284.43,22.87,1354.7,6.5,62.3,10.8,2018
RES-0000065,MSN-0084340,SAT-VIRT-76674,1997-07-17,USA,Navigation,303.31,54.06,1272.3,14.15,30.5,40.6,1997
RES-0000066,MSN-0046310,SAT-0043877,2017-06-27,China,Science,301.36,44.18,5031.8,29.49,30.1,38.1,2017
RES-0000067,MSN-0096206,SAT-0090601,2009-01-07,USA,Communications,708.24,83.8,3445.9,9.86,16.5,36.7,2009
RES-0000068,MSN-0022950,SAT-0021775,2003-05-03,France,Earth Observation,414.6,27.08,8460.8,26.54,156.5,34.6,2003
RES-0000069,MSN-0084556,SAT-VIRT-07006,1993-03-02,Russia,Science,299.39,53.9,8898.1,26.73,218.0,24.0,1993
RES-0000070,MSN-0078191,SAT-0073796,2019-02-18,India,Science,474.89,46.73,6622.8,6.28,181.1,21.0,2019
RES-0000071,MSN-0022014,SAT-VIRT-30871,1962-03-26,USA,Earth Observation,468.02,56.68,9293.2,18.19,66.0,31.5,1962
RES-0000072,MSN-0008233,SAT-0007693,1994-12-13,Russia,Navigation,205.55,41.43,3497.6,9.09,31.4,7.0,1994
RES-0000073,MSN-0045067,SAT-0042704,2011-04-04,USA,Navigation,201.86,71.94,2926.4,1.91,14.0,33.4,2011
RES-0000074,MSN-0092364,SAT-VIRT-31512,1982-09-03,China,Deep Space,268.21,39.44,2164.6,13.73,40.5,42.2,1982
RES-0000075,MSN-0062824,SAT-0059369,1985-08-04,USA,Navigation,258.64,49.29,1743.1,13.29,10.3,45.8,1985
RES-0000076,MSN-0065114,SAT-0061524,1996-04-26,Russia,Earth Observation,447.8,62.5,8027.8,9.63,69.9,24.8,1996
RES-0000077,MSN-0012386,SAT-0011760,2005-07-21,USA,Technology Demonstration,159.14,24.97,1523.1,10.25,37.7,9.3,2005
RES-0000078,MSN-0005558,SAT-0005218,2012-06-08,USA,Earth Observation,326.75,46.47,7125.6,30.53,99.1,17.4,2012
RES-0000079,MSN-0057489,SAT-VIRT-84320,2024-12-23,Russia,Supply/Resupply,1059.86,76.85,866.3,2.99,54.5,11.0,2024
RES-0000080,MSN-0063550,SAT-VIRT-48819,1996-04-04,Other,Earth Observation,47.7,11.4,7256.7,28.93,89.0,43.7,1996
RES-0000081,MSN-0083978,SAT-0079200,1996-07-20,Other,Earth Observation,550.94,66.55,11676.9,26.42,196.5,41.2,1996
RES-0000082,MSN-0094948,SAT-0089421,2011-01-26,Israel,Science,530.26,56.85,11467.0,33.3,199.2,45.0,2011
RES-0000083,MSN-0010520,SAT-0009946,1971-10-21,USA,Science,308.73,38.35,2790.0,38.25,150.0,45.4,1971
RES-0000084,MSN-0040335,SAT-0038222,2013-12-18,Russia,Communications,227.9,47.51,2277.0,4.89,24.2,10.7,2013
RES-0000085,MSN-0064490,SAT-0060940,2020-08-07,Russia,Communications,782.22,122.66,3277.8,12.34,61.0,17.9,2020
RES-0000086,MSN-0058538,SAT-0055370,2024-08-28,China,Science,568.39,93.7,5398.3,5.53,61.6,44.8,2024
RES-0000087,MSN-0008918,SAT-0008389,2007-09-03,USA,Navigation,528.18,69.87,1800.4,9.02,34.0,34.8,2007
RES-0000088,MSN-0048233,SAT-0045610,2020-07-09,ESA,Communications,1074.85,102.05,2203.6,9.5,11.9,43.9,2020
RES-0000089,MSN-0003828,SAT-VIRT-85939,2011-03-26,Russia,Crewed Mission,2460.62,96.12,2695.5,8.07,40.6,15.0,2011
RES-0000090,MSN-0078443,SAT-0074043,1994-11-17,China,Science,35.77,23.28,10179.9,27.08,142.4,40.1,1994
RES-0000091,MSN-0003882,SAT-VIRT-80840,2004-10-03,USA,Earth Observation,170.9,30.96,2731.5,17.74,201.2,46.1,2004
RES-0000092,MSN-0005184,SAT-0004865,2008-08-10,USA,Science,658.99,57.11,8349.4,22.71,51.0,15.0,2008
RES-0000093,MSN-0031618,SAT-VIRT-23431,1983-03-18,USA,Crewed Mission,2816.04,108.72,1752.1,8.24,14.0,43.8,1983
RES-0000094,MSN-0072446,SAT-0068397,1987-05-06,Japan,Navigation,288.64,30.13,3278.4,7.07,65.3,41.7,1987
RES-0000095,MSN-0046465,SAT-0044018,2022-05-28,USA,Science,309.98,37.02,3582.6,19.0,138.7,16.8,2022
RES-0000096,MSN-0057318,SAT-0054251,2022-10-21,China,Navigation,98.27,19.99,3295.5,14.31,18.3,4.3,2022
RES-0000097,MSN-0052741,SAT-0050004,2018-01-12,USA,Communications,948.06,102.09,2016.2,5.93,46.0,35.2,2018
RES-0000098,MSN-0017852,SAT-0016932,2007-03-27,China,Science,234.44,43.97,2701.1,7.97,172.9,19.2,2007
RES-0000099,MSN-0053770,SAT-0050928,1994-06-22,China,Science,139.34,55.65,10465.5,24.16,33.1,12.7,1994
RES-0000100,MSN-0028030,SAT-0026551,2014-11-26,Japan,Communications,417.56,111.23,2351.8,12.44,39.9,15.1,2014
RES-0000101,MSN-0056450,SAT-VIRT-84886,2006-09-08,China,Deep Space,273.18,67.3,2468.2,9.17,41.3,43.3,2006
RES-0000102,MSN-0022018,SAT-VIRT-91198,2020-10-22,Germany,Weather,159.41,18.75,2937.9,20.87,93.6,35.3,2020
RES-0000103,MSN-0052277,SAT-0049525,2018-01-13,Russia,Weather,187.88,41.41,5325.5,14.96,46.1,28.3,2018
RES-0000104,MSN-0090426,SAT-0085220,2011-04-14,Russia,Communications,1182.14,51.07,510.3,6.27,61.5,42.0,2011
RES-0000105,MSN-0048033,SAT-0045425,2009-06-06,Russia,Technology Demonstration,179.44,37.32,3478.1,9.98,22.6,31.6,2009
RES-0000106,MSN-0016243,SAT-0015508,2002-02-10,Other,Communications,440.56,41.1,3313.3,8.07,54.6,21.5,2002
RES-0000107,MSN-0014877,SAT-0014126,1999-10-23,USA,Communications,570.29,93.62,2066.6,14.73,30.1,26.5,1999
RES-0000108,MSN-0090500,SAT-0085295,1982-01-03,South Korea,Science,529.93,75.75,2177.9,8.61,48.1,32.2,1982
RES-0000109,MSN-0075026,SAT-0070881,2022-02-26,Germany,Navigation,228.58,26.02,2922.4,8.44,49.0,21.7,2022
RES-0000110,MSN-0057061,SAT-VIRT-42347,2021-05-19,USA,Supply/Resupply,925.2,216.11,2736.9,4.17,21.6,38.7,2021
RES-0000111,MSN-0088213,SAT-0083097,2018-01-03,USA,Weather,213.95,17.18,5370.8,27.21,75.3,31.7,2018
RES-0000112,MSN-0044175,SAT-0041875,2023-04-15,USA,Communications,834.22,104.58,627.4,14.62,22.4,12.9,2023
RES-0000113,MSN-0015909,SAT-0015189,2021-01-19,Russia,Weather,206.85,24.3,1443.8,2.03,73.6,45.9,2021
RES-0000114,MSN-0089381,SAT-0084181,2007-08-17,Other,Communications,1226.64,41.07,2952.8,12.17,43.8,24.4,2007
RES-0000115,MSN-0078782,SAT-VIRT-75341,2015-10-02,China,Deep Space,861.2,63.34,3194.1,10.92,47.1,33.5,2015
RES-0000116,MSN-0000933,SAT-0000869,2012-05-17,USA,Weather,523.71,55.27,5705.6,26.87,94.4,44.0,2012
RES-0000117,MSN-0054272,SAT-0051391,2012-02-10,China,Communications,1672.52,151.74,1606.6,12.61,23.4,41.6,2012
RES-0000118,MSN-0046650,SAT-VIRT-28869,1993-08-02,ESA,Communications,427.38,82.07,832.2,14.51,17.8,19.4,1993
RES-0000119,MSN-0054091,SAT-0051224,2001-09-01,USA,Technology Demonstration,97.02,10.8,2285.1,1.56,51.9,46.0,2001
RES-0000120,MSN-0000067,SAT-0000060,2020-02-22,USA,Communications,984.27,118.75,3279.3,11.85,45.2,4.7,2020
RES-0000121,MSN-0021991,SAT-0020880,2018-10-16,Germany,Earth Observation,140.55,36.13,2948.7,24.17,197.2,23.0,2018
RES-0000122,MSN-0096786,SAT-0091161,1999-01-12,USA,Communications,1331.06,75.32,510.0,1.58,57.5,19.8,1999
RES-0000123,MSN-0072178,SAT-0068159,2022-01-15,Russia,Communications,734.7,82.67,678.5,11.6,21.2,28.2,2022
RES-0000124,MSN-0035199,SAT-VIRT-19726,2010-11-28,China,Earth Observation,263.13,49.48,8130.9,9.61,179.8,13.3,2010
RES-0000125,MSN-0043148,SAT-0040964,2019-01-12,China,Earth Observation,99.47,14.17,4707.1,10.14,196.8,28.1,2019
RES-0000126,MSN-0051940,SAT-0049223,1999-11-08,Israel,Communications,679.26,39.57,551.6,3.97,26.9,40.3,1999
RES-0000127,MSN-0052203,SAT-VIRT-33325,2017-11-12,China,Communications,747.72,80.03,889.3,5.81,42.6,28.5,2017
RES-0000128,MSN-0033276,SAT-VIRT-98647,1995-11-04,Canada,Crewed Mission,3333.09,289.78,1124.8,11.33,33.4,46.0,1995
RES-0000129,MSN-0014688,SAT-0013960,1983-02-15,Russia,Communications,564.58,124.96,841.4,6.2,41.9,46.9,1983
RES-0000130,MSN-0032283,SAT-VIRT-71644,1999-02-02,USA,Navigation,369.21,54.83,502.8,4.43,31.5,46.1,1999
RES-0000131,MSN-0090808,SAT-0085598,2004-11-04,USA,Military Reconnaissance,722.74,114.77,1992.0,8.5,38.7,4.6,2004
RES-0000132,MSN-0036401,SAT-0034509,2019-08-10,South Korea,Navigation,232.17,54.45,828.2,8.71,54.1,43.5,2019
RES-0000133,MSN-0048471,SAT-0045845,2000-11-03,France,Earth Observation,24.16,22.17,9494.3,26.59,164.3,36.4,2000
RES-0000134,MSN-0054590,SAT-VIRT-57155,1999-11-08,ESA,Weather,230.49,45.54,3103.4,12.64,68.7,14.0,1999
RES-0000135,MSN-0096151,SAT-0090543,2020-05-28,Russia,Navigation,857.32,69.93,3465.8,2.2,47.2,20.5,2020
RES-0000136,MSN-0012893,SAT-0012301,1991-06-02,France,Science,453.88,46.26,5572.2,45.26,160.2,47.9,1991
RES-0000137,MSN-0080958,SAT-0076384,2012-01-02,USA,Navigation,245.25,29.19,513.3,11.49,15.1,9.0,2012
RES-0000138,MSN-0089697,SAT-0084479,2024-07-22,Other,Communications,1269.4,116.56,1409.7,13.0,51.9,34.2,2024
RES-0000139,MSN-0088398,SAT-0083282,2023-02-18,China,Science,225.47,34.76,12152.6,10.94,220.0,41.5,2023
RES-0000140,MSN-0042284,SAT-0040149,1972-04-21,USA,Weather,422.34,31.11,5624.6,3.38,90.8,8.5,1972
RES-0000141,MSN-0076896,SAT-VIRT-65686,1972-05-26,UAE,Earth Observation,383.98,45.12,11716.4,12.61,232.8,39.0,1972
RES-0000142,MSN-0015841,SAT-0015118,1984-06-09,Russia,Communications,699.01,112.0,1323.6,12.25,23.3,27.5,1984
RES-0000143,MSN-0059637,SAT-0056411,2002-06-07,USA,Military Reconnaissance,385.31,27.21,2504.2,6.68,46.7,7.7,2002
RES-0000144,MSN-0044920,SAT-0042568,1981-10-13,Russia,Science,372.99,34.39,8651.2,38.48,170.0,12.3,1981
RES-0000145,MSN-0096482,SAT-VIRT-21033,1996-02-02,Japan,Technology Demonstration,74.11,27.99,3247.4,6.0,50.6,16.1,1996
RES-0000146,MSN-0042012,SAT-VIRT-83240,2022-05-20,China,Deep Space,394.42,101.28,789.7,8.39,21.4,44.7,2022
RES-0000147,MSN-0002464,SAT-0002308,1972-03-01,USA,Communications,661.52,81.09,1577.8,13.33,65.0,47.6,1972
RES-0000148,MSN-0034987,SAT-0033133,2006-07-10,USA,Communications,1227.4,77.35,2150.7,3.91,17.7,13.3,2006
RES-0000149,MSN-0062864,SAT-0059403,2010-06-18,Israel,Communications,17.89,6.71,1921.0,3.89,26.3,4.6,2010
RES-0000150,MSN-0035472,SAT-0033573,1976-10-19,ESA,Technology Demonstration,58.69,21.69,900.2,14.52,9.8,12.8,1976
RES-0000151,MSN-0036639,SAT-0034727,2018-12-07,Russia,Communications,973.2,56.65,2483.5,4.74,12.5,41.9,2018
RES-0000152,MSN-0092882,SAT-0087540,2021-04-16,China,Earth Observation,255.82,28.32,7733.7,18.14,169.1,43.3,2021
RES-0000153,MSN-0058909,SAT-VIRT-51019,2000-07-03,Russia,Supply/Resupply,571.22,97.26,1997.4,4.57,38.4,9.1,2000
RES-0000154,MSN-0067459,SAT-0063699,1963-12-23,Russia,Earth Observation,212.14,23.76,9085.8,33.1,103.3,7.2,1963
RES-0000155,MSN-0091189,SAT-0085972,2024-09-19,Japan,Military Reconnaissance,1954.34,180.19,2586.6,7.58,25.2,46.1,2024
RES-0000156,MSN-0063100,SAT-0059611,2018-11-03,India,Technology Demonstration,60.56,15.76,2277.3,1.29,33.6,34.4,2018
RES-0000157,MSN-0078940,SAT-VIRT-33953,1982-10-10,ESA,Communications,1500.51,67.41,2421.3,14.39,67.1,22.3,1982
RES-0000158,MSN-0092357,SAT-0087063,2017-07-21,Russia,Military Reconnaissance,667.81,31.54,1163.8,9.35,51.4,26.0,2017
RES-0000159,MSN-0013862,SAT-VIRT-02504,1995-12-11,USA,Navigation,215.18,31.58,3149.0,7.49,57.9,33.3,1995
RES-0000160,MSN-0088716,SAT-0083573,1982-02-12,Russia,Communications,1427.85,74.48,1906.2,14.43,66.9,4.6,1982
RES-0000161,MSN-0020359,SAT-0019317,2000-01-21,USA,Communications,648.89,58.95,2160.8,12.03,32.2,5.8,2000
RES-0000162,MSN-0055646,SAT-VIRT-16014,2012-05-21,Russia,Crewed Mission,2073.59,140.11,953.6,12.95,38.2,10.6,2012
RES-0000163,MSN-0013223,SAT-0012616,2017-05-15,Canada,Technology Demonstration,150.56,12.03,3135.6,10.16,25.8,32.1,2017
RES-0000164,MSN-0079831,SAT-VIRT-71381,1990-07-09,Other,Communications,673.63,49.01,2036.5,12.26,26.7,14.6,1990
RES-0000165,MSN-0023527,SAT-0022291,1989-09-04,Russia,Technology Demonstration,74.98,16.67,2682.8,1.33,24.7,12.1,1989
RES-0000166,MSN-0049963,SAT-0047282,2024-05-22,USA,Communications,1391.19,109.89,1134.3,13.18,30.9,37.2,2024
RES-0000167,MSN-0079100,SAT-0074655,1989-02-01,China,Navigation,344.72,53.02,1776.3,1.95,15.7,33.5,1989
RES-0000168,MSN-0011307,SAT-VIRT-45587,1969-01-01,Japan,Earth Observation,211.5,47.35,4034.3,35.25,208.6,20.3,1969
RES-0000169,MSN-0084600,SAT-0079755,2001-10-03,France,Science,180.35,37.44,8113.4,46.4,107.1,31.0,2001
RES-0000170,MSN-0004833,SAT-0004548,2004-08-07,Russia,Weather,349.28,42.02,6307.2,12.45,79.1,29.9,2004
RES-0000171,MSN-0092164,SAT-0086896,1989-07-17,Russia,Navigation,342.6,53.14,2716.0,6.05,19.0,23.6,1989
RES-0000172,MSN-0088695,SAT-0083555,1988-12-27,Russia,Earth Observation,86.72,34.6,10675.0,28.85,44.5,27.9,1988
RES-0000173,MSN-0016941,SAT-0016130,2020-02-15,USA,Military Reconnaissance,956.71,124.55,2862.4,2.1,22.5,18.8,2020
RES-0000174,MSN-0060993,SAT-0057681,2020-01-09,Russia,Technology Demonstration,104.48,38.3,653.7,7.93,57.5,11.7,2020
RES-0000175,MSN-0035955,SAT-VIRT-95646,1994-01-06,India,Supply/Resupply,1802.27,195.13,2662.4,4.92,11.1,19.6,1994
RES-0000176,MSN-0005474,SAT-VIRT-95329,2022-05-23,China,Crewed Mission,1363.58,224.32,2932.9,5.97,21.8,41.4,2022
RES-0000177,MSN-0011795,SAT-VIRT-35522,2013-10-03,China,Supply/Resupply,2313.93,107.05,3151.7,7.65,39.0,9.3,2013
RES-0000178,MSN-0004237,SAT-0003972,2011-07-17,Russia,Earth Observation,208.35,29.12,12108.9,32.02,83.6,12.8,2011
RES-0000179,MSN-0015292,SAT-0014535,2005-04-20,Japan,Weather,199.23,32.74,4206.8,20.28,84.1,16.0,2005
RES-0000180,MSN-0056238,SAT-0053208,1992-12-26,India,Navigation,205.28,48.68,775.4,7.4,23.5,8.5,1992
RES-0000181,MSN-0013185,SAT-VIRT-14947,2005-03-06,USA,Crewed Mission,2481.53,287.42,1992.6,8.23,37.0,23.5,2005
RES-0000182,MSN-0084568,SAT-0079729,2001-03-27,USA,Science,201.04,55.7,6802.4,48.0,92.3,32.1,2001
RES-0000183,MSN-0040544,SAT-0038411,1993-05-23,USA,Communications,807.6,51.97,2088.7,1.43,50.0,43.4,1993
RES-0000184,MSN-0016076,SAT-0015350,2007-09-24,USA,Navigation,590.54,35.3,1800.5,9.18,13.7,16.2,2007
RES-0000185,MSN-0027185,SAT-0025714,1997-12-13,Russia,Earth Observation,189.42,43.3,6314.8,13.04,102.0,18.4,1997
RES-0000186,MSN-0089405,SAT-0084216,2008-06-27,China,Technology Demonstration,112.81,13.12,3243.1,4.48,15.6,9.8,2008
RES-0000187,MSN-0005714,SAT-0005360,2017-06-14,Japan,Earth Observation,411.04,55.51,11034.0,21.88,139.8,39.7,2017
RES-0000188,MSN-0067957,SAT-0064159,1972-06-03,China,Navigation,288.56,34.62,1367.6,5.16,66.6,36.7,1972
RES-0000189,MSN-0079825,SAT-VIRT-50009,2013-09-02,USA,Supply/Resupply,1575.37,78.07,853.7,6.97,59.4,46.7,2013
RES-0000190,MSN-0049276,SAT-VIRT-22174,2014-09-28,USA,Supply/Resupply,651.42,51.23,2067.7,9.64,12.2,19.4,2014
RES-0000191,MSN-0071379,SAT-0067367,2007-05-16,USA,Navigation,332.1,56.52,925.8,6.18,31.1,25.8,2007
RES-0000192,MSN-0000885,SAT-VIRT-70514,1980-04-02,USA,Communications,1463.5,79.51,1459.9,13.33,13.5,46.8,1980
RES-0000193,MSN-0056631,SAT-0053605,2008-10-24,India,Science,502.16,34.99,3413.8,39.29,57.1,16.0,2008
RES-0000194,MSN-0093593,SAT-VIRT-79504,1987-02-19,USA,Supply/Resupply,1441.4,135.75,3393.9,10.49,20.3,19.2,1987
RES-0000195,MSN-0025725,SAT-0024342,2013-01-01,USA,Earth Observation,169.69,34.41,9969.4,36.65,201.2,13.6,2013
RES-0000196,MSN-0010411,SAT-0009836,2005-04-11,USA,Science,409.33,66.08,11765.0,12.64,47.5,43.8,2005
RES-0000197,MSN-0099641,SAT-0093820,2021-11-09,Russia,Communications,57.13,20.06,2558.3,6.48,25.9,8.5,2021
RES-0000198,MSN-0024185,SAT-0022893,2006-09-05,Germany,Earth Observation,479.63,55.4,9264.4,28.31,161.0,27.4,2006
RES-0000199,MSN-0009029,SAT-0008508,1994-06-21,USA,Military Reconnaissance,826.83,86.58,2104.6,5.31,22.6,34.0,1994
RES-0000200,MSN-0011791,SAT-0011154,1997-04-03,France,Space Station,6286.3,584.3,2905.7,4.47,51.0,44.1,1997
RES-0000201,MSN-0066298,SAT-0062627,1983-12-28,Canada,Navigation,194.57,28.19,2260.5,5.45,35.3,24.5,1983
RES-0000202,MSN-0051396,SAT-0048636,1992-04-12,France,Earth Observation,159.65,37.17,10342.5,33.6,99.7,11.0,1992
RES-0000203,MSN-0093719,SAT-0088289,2003-01-24,Japan,Military Reconnaissance,472.18,55.23,844.9,1.59,66.5,4.8,2003
